"","Pathway_ID","Pathway_Name","Compound_ID","Metabolism_Name"
"hsa00010","hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","C00022;C00024;C00031;C00033;C00036;C00068;C00074;C00084;C00103;C00111;C00118;C00186;C00197;C00221;C00236;C00267;C00469;C00631;C00668;C01159;C01172;C01451;C05125;C05345;C05378;C06186;C06187;C06188;C15972;C15973;C16255","Pyruvate;Acetyl-CoA;D-Glucose;Acetate;Oxaloacetate;Thiamin diphosphate;Phosphoenolpyruvate;Acetaldehyde;D-Glucose 1-phosphate;Glycerone phosphate;D-Glyceraldehyde 3-phosphate;(S)-Lactate;3-Phospho-D-glycerate;beta-D-Glucose;3-Phospho-D-glyceroyl phosphate;alpha-D-Glucose;Ethanol;2-Phospho-D-glycerate;alpha-D-Glucose 6-phosphate;2,3-Bisphospho-D-glycerate;beta-D-Glucose 6-phosphate;Salicin;2-(alpha-Hydroxyethyl)thiamine diphosphate;beta-D-Fructose 6-phosphate;beta-D-Fructose 1,6-bisphosphate;Arbutin;Arbutin 6-phosphate;Salicin 6-phosphate;Enzyme N6-(lipoyl)lysine;Enzyme N6-(dihydrolipoyl)lysine;[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine"
"hsa00020","hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)","C00022;C00024;C00026;C00036;C00042;C00068;C00074;C00091;C00122;C00149;C00158;C00311;C00417;C05125;C05379;C05381;C15972;C15973;C16254;C16255","Pyruvate;Acetyl-CoA;2-Oxoglutarate;Oxaloacetate;Succinate;Thiamin diphosphate;Phosphoenolpyruvate;Succinyl-CoA;Fumarate;(S)-Malate;Citrate;Isocitrate;cis-Aconitate;2-(alpha-Hydroxyethyl)thiamine diphosphate;Oxalosuccinate;3-Carboxy-1-hydroxypropyl-ThPP;Enzyme N6-(lipoyl)lysine;Enzyme N6-(dihydrolipoyl)lysine;[Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine;[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine"
"hsa00030","hsa00030","Pentose phosphate pathway - Homo sapiens (human)","C00022;C00031;C00117;C00118;C00119;C00121;C00197;C00198;C00199;C00204;C00221;C00231;C00257;C00258;C00279;C00345;C00577;C00620;C00631;C00668;C00672;C00673;C01151;C01172;C01182;C01218;C01236;C01801;C03752;C04442;C05345;C05378;C05382;C06019;C06473;C20589","Pyruvate;D-Glucose;D-Ribose 5-phosphate;D-Glyceraldehyde 3-phosphate;5-Phospho-alpha-D-ribose 1-diphosphate;D-Ribose;3-Phospho-D-glycerate;D-Glucono-1,5-lactone;D-Ribulose 5-phosphate;2-Dehydro-3-deoxy-D-gluconate;beta-D-Glucose;D-Xylulose 5-phosphate;D-Gluconic acid;D-Glycerate;D-Erythrose 4-phosphate;6-Phospho-D-gluconate;D-Glyceraldehyde;alpha-D-Ribose 1-phosphate;2-Phospho-D-glycerate;alpha-D-Glucose 6-phosphate;2-Deoxy-D-ribose 1-phosphate;2-Deoxy-D-ribose 5-phosphate;D-Ribose 1,5-bisphosphate;beta-D-Glucose 6-phosphate;D-Ribulose 1,5-bisphosphate;6-Phospho-2-dehydro-D-gluconate;D-Glucono-1,5-lactone 6-phosphate;Deoxyribose;2-Amino-2-deoxy-D-gluconate;2-Dehydro-3-deoxy-6-phospho-D-gluconate;beta-D-Fructose 6-phosphate;beta-D-Fructose 1,6-bisphosphate;Sedoheptulose 7-phosphate;D-arabino-Hex-3-ulose 6-phosphate;2-Keto-D-gluconic acid;D-Glucosaminate-6-phosphate"
"hsa00040","hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","C00022;C00026;C00029;C00103;C00111;C00116;C00167;C00181;C00191;C00199;C00204;C00216;C00231;C00259;C00266;C00309;C00310;C00312;C00333;C00379;C00433;C00470;C00474;C00476;C00502;C00508;C00514;C00532;C00558;C00618;C00714;C00789;C00800;C00817;C00905;C01068;C01101;C01508;C01904;C02266;C02273;C02426;C02753;C03033;C03291;C03826;C04053;C04349;C04575;C05385;C05411;C05412;C06118;C06441;C14899;C15930;C20680;C22337","Pyruvate;2-Oxoglutarate;UDP-glucose;D-Glucose 1-phosphate;Glycerone phosphate;Glycerol;UDP-glucuronate;D-Xylose;D-Glucuronate;D-Ribulose 5-phosphate;2-Dehydro-3-deoxy-D-gluconate;D-Arabinose;D-Xylulose 5-phosphate;L-Arabinose;Glycolaldehyde;D-Ribulose;D-Xylulose;L-Xylulose;D-Galacturonate;Xylitol;2,5-Dioxopentanoate;Pectate;Ribitol;D-Lyxose;D-Xylonate;L-Ribulose;D-Mannonate;L-Arabitol;D-Tagaturonate;3-Dehydro-L-gulonate;Pectin;CDP-ribitol;L-Gulonate;D-Altronate;D-Fructuronate;D-Ribitol 5-phosphate;L-Ribulose 5-phosphate;L-Lyxose;D-Arabitol;D-Xylonolactone;Digalacturonate;L-Glyceraldehyde;D-Xylono-1,4-lactone;beta-D-Glucuronoside;L-Xylulose 5-phosphate;2-Dehydro-3-deoxy-D-xylonate;5-Dehydro-4-deoxy-D-glucuronate;(4S)-4,6-Dihydroxy-2,5-dioxohexanoate;(4R,5S)-4,5,6-Trihydroxy-2,3-dioxohexanoate;D-Glucuronate 1-phosphate;L-Xylonate;L-Lyxonate;4-(4-Deoxy-alpha-D-gluc-4-enuronosyl)-D-galacturonate;L-Xylulose 1-phosphate;3-Dehydro-L-gulonate 6-phosphate;L-Galactonate;2-Dehydro-3-deoxy-L-galactonate;D-Ribulose 1-phosphate"
"hsa00051","hsa00051","Fructose and mannose metabolism - Homo sapiens (human)","C00095;C00096;C00111;C00118;C00159;C00186;C00247;C00267;C00275;C00325;C00392;C00424;C00464;C00507;C00577;C00636;C00644;C00665;C00794;C00861;C00976;C01019;C01094;C01096;C01099;C01131;C01222;C01355;C01487;C01720;C01721;C01768;C01934;C02431;C02492;C02888;C02962;C02977;C02985;C02991;C03117;C03267;C03827;C03979;C05144;C05345;C05378;C05392;C06192;C11516;C11544;C18028;C18096;C20781","D-Fructose;GDP-mannose;Glycerone phosphate;D-Glyceraldehyde 3-phosphate;D-Mannose;(S)-Lactate;L-Sorbose;alpha-D-Glucose;D-Mannose 6-phosphate;GDP-L-fucose;Mannitol;(S)-Lactaldehyde;Mannan;L-Rhamnose;D-Glyceraldehyde;D-Mannose 1-phosphate;D-Mannitol 1-phosphate;beta-D-Fructose 2,6-bisphosphate;D-Sorbitol;L-Rhamnulose;GDP-D-mannuronate;L-Fucose;D-Fructose 1-phosphate;Sorbitol 6-phosphate;L-Fuculose 1-phosphate;L-Rhamnulose 1-phosphate;GDP-4-dehydro-6-deoxy-D-mannose;Fructan;D-Allose;L-Fuconate;L-Fuculose;(Alginate)n;L-Rhamnonate;L-Rhamnofuranose;1,4-beta-D-Mannan;Sorbose 1-phosphate;D-Allose 6-phosphate;GDP-6-deoxy-D-talose;L-Fucose 1-phosphate;L-Rhamnono-1,4-lactone;GDP-6-deoxy-D-mannose;beta-D-Fructose 2-phosphate;2-Dehydro-3-deoxy-L-fuconate;2-Dehydro-3-deoxy-L-rhamnonate;(beta-D-Mannuronate)n;beta-D-Fructose 6-phosphate;beta-D-Fructose 1,6-bisphosphate;Oligouronide with 4-deoxy-alpha-L-erythro-hex-4-enopyranuronosyl group;ADP-mannose;2-(alpha-D-Mannosyl)-3-phosphoglycerate;2-O-(alpha-D-Mannosyl)-D-glycerate;L-Fucono-1,5-lactone;D-Allulose 6-phosphate;2,4-Diketo-3-deoxy-L-fuconate"
"hsa00052","hsa00052","Galactose metabolism - Homo sapiens (human)","C00029;C00031;C00052;C00085;C00089;C00095;C00103;C00111;C00116;C00118;C00124;C00137;C00159;C00243;C00267;C00446;C00492;C00577;C00668;C00794;C00795;C00880;C00984;C01097;C01113;C01132;C01216;C01235;C01286;C01613;C01697;C02262;C02669;C03383;C03733;C03785;C05396;C05399;C05400;C05401;C05402;C05404;C05796;C06311;C06376;C06377","UDP-glucose;D-Glucose;UDP-alpha-D-galactose;D-Fructose 6-phosphate;Sucrose;D-Fructose;D-Glucose 1-phosphate;Glycerone phosphate;Glycerol;D-Glyceraldehyde 3-phosphate;D-Galactose;myo-Inositol;D-Mannose;Lactose;alpha-D-Glucose;alpha-D-Galactose 1-phosphate;Raffinose;D-Glyceraldehyde;alpha-D-Glucose 6-phosphate;D-Sorbitol;D-Tagatose;D-Galactonate;alpha-D-Galactose;D-Tagatose 6-phosphate;D-Galactose 6-phosphate;N-Acetyl-D-galactosamine;2-Dehydro-3-deoxy-D-galactonate;alpha-D-Galactosyl-(1->3)-1D-myo-inositol;2-Dehydro-3-deoxy-6-phospho-D-galactonate;Stachyose;Galactitol;D-Galactosamine;D-Galactono-1,5-lactone;D-Galactono-1,4-lactone;UDP-alpha-D-galactofuranose;D-Tagatose 1,6-bisphosphate;Lactose 6'-phosphate;Melibiitol;Epimelibiose;3-beta-D-Galactosyl-sn-glycerol;Melibiose;D-Gal alpha 1->6D-Gal alpha 1->6D-Glucose;Galactan;Galactitol 1-phosphate;N-Acetyl-D-galactosamine 6-phosphate;D-Galactosamine 6-phosphate"
"hsa00053","hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)","C00022;C00026;C00029;C00072;C00096;C00137;C00167;C00191;C00216;C00231;C00259;C00333;C00433;C00545;C00558;C00617;C00618;C00652;C00679;C00684;C00800;C00818;C00878;C00879;C01040;C01041;C01101;C01114;C01115;C01146;C01620;C01825;C02280;C02670;C03033;C03064;C03289;C03291;C03826;C03921;C04037;C04575;C05385;C05411;C05412;C05422;C06316;C14899;C15923;C15924;C15925;C15926;C15930;C16186;C20889;C20896;C21955","Pyruvate;2-Oxoglutarate;UDP-glucose;Ascorbate;GDP-mannose;myo-Inositol;UDP-glucuronate;D-Glucuronate;D-Arabinose;D-Xylulose 5-phosphate;L-Arabinose;D-Galacturonate;2,5-Dioxopentanoate;L-Arabinonate;D-Tagaturonate;UDP-D-galacturonate;3-Dehydro-L-gulonate;D-Arabinono-1,4-lactone;5-Dehydro-4-deoxy-D-glucarate;2-Dehydro-3-deoxy-L-arabinonate;L-Gulonate;D-Glucarate;D-Arabinonate;D-Galactarate;L-Gulono-1,4-lactone;Monodehydroascorbate;L-Ribulose 5-phosphate;L-Arabinono-1,4-lactone;L-Galactono-1,4-lactone;2-Hydroxy-3-oxopropanoate;Threonate;L-Galactose;GDP-L-galactose;D-Glucuronolactone;beta-D-Glucuronoside;3-Dehydro-L-threonate;L-xylo-Hexulonolactone;L-Xylulose 5-phosphate;2-Dehydro-3-deoxy-D-xylonate;2-Dehydro-3-deoxy-D-glucarate;1-Phospho-alpha-D-galacturonate;(4R,5S)-4,5,6-Trihydroxy-2,3-dioxohexanoate;D-Glucuronate 1-phosphate;L-Xylonate;L-Lyxonate;Dehydroascorbate;Dehydro-D-arabinono-1,4-lactone;3-Dehydro-L-gulonate 6-phosphate;L-Gulose;L-Gulose 1-phosphate;GDP-L-gulose;beta-L-Galactose 1-phosphate;L-Galactonate;L-Ascorbate 6-phosphate;D-Galactaro-1,5-lactone;D-Galactaro-1,4-lactone;L-Galactono-1,5-lactone"
"hsa00061","hsa00061","Fatty acid biosynthesis - Homo sapiens (human)","C00024;C00083;C00154;C00173;C00229;C00249;C00383;C00638;C00685;C00693;C00712;C01203;C01209;C01271;C01530;C01571;C02679;C02843;C03939;C04088;C04180;C04246;C04618;C04619;C04620;C04633;C04688;C05223;C05744;C05745;C05746;C05747;C05748;C05749;C05750;C05751;C05752;C05753;C05754;C05755;C05756;C05757;C05758;C05759;C05760;C05761;C05762;C05763;C05764;C06423;C06424;C08362;C16219;C16220;C16221;C16520;C20683;C20794","Acetyl-CoA;Malonyl-CoA;Palmitoyl-CoA;Acyl-[acyl-carrier protein];Acyl-carrier protein;Hexadecanoic acid;Malonate;Long-chain fatty acid;3-Oxoacyl-[acyl-carrier protein];trans-2,3-Dehydroacyl-[acyl-carrier protein];(9Z)-Octadecenoic acid;Oleoyl-[acyl-carrier protein];Malonyl-[acyl-carrier protein];(3R)-3-Hydroxyacyl-[acyl-carrier protein];Octadecanoic acid;Decanoic acid;Dodecanoic acid;Long-chain acyl-CoA;Acetyl-[acyl-carrier protein];Octadecanoyl-[acyl-carrier protein];cis-Dec-3-enoyl-[acp];But-2-enoyl-[acyl-carrier protein];(3R)-3-Hydroxybutanoyl-[acyl-carrier protein];(3R)-3-Hydroxydecanoyl-[acyl-carrier protein];(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein];(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein];(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein];Dodecanoyl-[acyl-carrier protein];Acetoacetyl-[acp];Butyryl-[acp];3-Oxohexanoyl-[acp];(3R)-3-Hydroxyhexanoyl-[acyl-carrier protein];trans-Hex-2-enoyl-[acp];Hexanoyl-[acp];3-Oxooctanoyl-[acp];trans-Oct-2-enoyl-[acp];Octanoyl-[acp];3-Oxodecanoyl-[acp];trans-Dec-2-enoyl-[acp];Decanoyl-[acp];3-Oxododecanoyl-[acp];(3R)-3-Hydroxydodecanoyl-[acyl-carrier protein];trans-Dodec-2-enoyl-[acp];3-Oxotetradecanoyl-[acp];trans-Tetradec-2-enoyl-[acp];Tetradecanoyl-[acp];3-Oxohexadecanoyl-[acp];trans-Hexadec-2-enoyl-[acp];Hexadecanoyl-[acp];Octanoic acid;Tetradecanoic acid;(9Z)-Hexadecenoic acid;3-Oxostearoyl-[acp];(3R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein];(2E)-Octadecenoyl-[acp];Hexadecenoyl-[acyl-carrier protein];Long-chain acyl-[acyl-carrier protein];n-7 Unsaturated acyl-[acyl-carrier protein]"
"hsa00062","hsa00062","Fatty acid elongation - Homo sapiens (human)","C00024;C00040;C00083;C00136;C00154;C00162;C00249;C00264;C00605;C00638;C00640;C00658;C01832;C01944;C02593;C02843;C03221;C05258;C05259;C05260;C05261;C05262;C05263;C05264;C05265;C05266;C05267;C05268;C05269;C05270;C05271;C05272;C05273;C05274;C05275;C05276;C20876;C20877;C20878;C20879","Acetyl-CoA;Acyl-CoA;Malonyl-CoA;Butanoyl-CoA;Palmitoyl-CoA;Fatty acid;Hexadecanoic acid;3-Oxoacyl-CoA;2,3-Dehydroacyl-CoA;Long-chain fatty acid;(3S)-3-Hydroxyacyl-CoA;trans-2,3-Dehydroacyl-CoA;Lauroyl-CoA;Octanoyl-CoA;Tetradecanoyl-CoA;Long-chain acyl-CoA;2-trans-Dodecenoyl-CoA;(S)-3-Hydroxyhexadecanoyl-CoA;3-Oxopalmitoyl-CoA;(S)-3-Hydroxytetradecanoyl-CoA;3-Oxotetradecanoyl-CoA;(S)-3-Hydroxydodecanoyl-CoA;3-Oxododecanoyl-CoA;(S)-Hydroxydecanoyl-CoA;3-Oxodecanoyl-CoA;(S)-3-Hydroxyoctanoyl-CoA;3-Oxooctanoyl-CoA;(S)-Hydroxyhexanoyl-CoA;3-Oxohexanoyl-CoA;Hexanoyl-CoA;trans-Hex-2-enoyl-CoA;trans-Hexadec-2-enoyl-CoA;trans-Tetradec-2-enoyl-CoA;Decanoyl-CoA;trans-Dec-2-enoyl-CoA;trans-Oct-2-enoyl-CoA;Very-long-chain acyl-CoA;Very-long-chain 3-oxoacyl-CoA;Very-long-chain (3R)-3-hydroxyacyl-CoA;Very-long-chain trans-2,3-dehydroacyl-CoA"
"hsa00071","hsa00071","Fatty acid degradation - Homo sapiens (human)","C00010;C00024;C00071;C00136;C00154;C00162;C00226;C00229;C00249;C00332;C00340;C00435;C00489;C00517;C00527;C00638;C00823;C00877;C01144;C01371;C01832;C01944;C02593;C02990;C03221;C03547;C03561;C05102;C05258;C05259;C05260;C05261;C05262;C05263;C05264;C05265;C05266;C05267;C05268;C05269;C05270;C05271;C05272;C05273;C05274;C05275;C05276;C05279;C05280;C20683","CoA;Acetyl-CoA;Aldehyde;Butanoyl-CoA;Palmitoyl-CoA;Fatty acid;Primary alcohol;Acyl-carrier protein;Hexadecanoic acid;Acetoacetyl-CoA;Reduced rubredoxin;Oxidized rubredoxin;Glutarate;Hexadecanal;Glutaryl-CoA;Long-chain fatty acid;1-Hexadecanol;Crotonoyl-CoA;(S)-3-Hydroxybutanoyl-CoA;Alkane;Lauroyl-CoA;Octanoyl-CoA;Tetradecanoyl-CoA;L-Palmitoylcarnitine;2-trans-Dodecenoyl-CoA;omega-Hydroxy fatty acid;(R)-3-Hydroxybutanoyl-CoA;alpha-Hydroxy fatty acid;(S)-3-Hydroxyhexadecanoyl-CoA;3-Oxopalmitoyl-CoA;(S)-3-Hydroxytetradecanoyl-CoA;3-Oxotetradecanoyl-CoA;(S)-3-Hydroxydodecanoyl-CoA;3-Oxododecanoyl-CoA;(S)-Hydroxydecanoyl-CoA;3-Oxodecanoyl-CoA;(S)-3-Hydroxyoctanoyl-CoA;3-Oxooctanoyl-CoA;(S)-Hydroxyhexanoyl-CoA;3-Oxohexanoyl-CoA;Hexanoyl-CoA;trans-Hex-2-enoyl-CoA;trans-Hexadec-2-enoyl-CoA;trans-Tetradec-2-enoyl-CoA;Decanoyl-CoA;trans-Dec-2-enoyl-CoA;trans-Oct-2-enoyl-CoA;trans,cis-Lauro-2,6-dienoyl-CoA;cis,cis-3,6-Dodecadienoyl-CoA;Long-chain acyl-[acyl-carrier protein]"
