,,nn_fold_0,nn_fold_1,nn_fold_2,nn_fold_3,nn_fold_4
UBE2Q1,mut_important,0.0,0.0,0.0,0.0,0.0
UBE2Q1,cnv_del,0.0,0.0,0.0,0.0,0.0
UBE2Q1,cnv_amp,0.0,0.0,0.0,0.0,0.0
UBE2Q1,promoter,0.0,0.0,0.0,0.0,0.0
RNF14,mut_important,0.0,0.0,0.0,0.0,0.0
RNF14,cnv_del,0.0,0.0,0.0,0.0,0.0
RNF14,cnv_amp,0.0,0.0,0.0,0.0,0.0
RNF14,promoter,0.0,0.0,0.0,0.0,0.0
UBE2Q2,mut_important,0.0,0.0,0.0,0.0,0.0
UBE2Q2,cnv_del,0.0,0.0,0.0,0.0,0.0
UBE2Q2,cnv_amp,0.0,0.0,0.0,0.0,0.0
UBE2Q2,promoter,0.0,0.0,0.0,0.0,0.0
RNF10,mut_important,0.0,0.0,0.0,0.0,0.0
RNF10,cnv_del,0.0,0.0,0.0,0.0,0.0
RNF10,cnv_amp,0.0,0.0,0.0,0.0,0.0
RNF10,promoter,0.0,0.0,0.0,0.0,0.0
RNF11,mut_important,0.0,0.0,0.0,0.0,0.0
RNF11,cnv_del,0.0,0.0,0.0,0.0,0.0
RNF11,cnv_amp,0.0,0.0,0.0,0.0,0.0
RNF11,promoter,0.0,0.0,0.0,0.0,0.0
RNF13,mut_important,0.0,0.0,0.0,0.0,0.0
RNF13,cnv_del,0.0,0.0,0.0,0.0,0.0
RNF13,cnv_amp,0.0,0.0,0.0,0.0,0.0
RNF13,promoter,0.0,0.0,0.0,0.0,0.0
REM1,mut_important,0.0,0.0,0.0,0.0,0.0
REM1,cnv_del,0.0,0.0,0.0,0.0,0.0
REM1,cnv_amp,0.0,0.0,0.0,0.0,0.0
REM1,promoter,0.0,0.0,0.0,0.0,0.0
REM2,mut_important,0.0,0.0,0.0,0.0,0.0
REM2,cnv_del,0.0,0.0,0.0,0.0,0.0
REM2,cnv_amp,0.0,0.0,0.0,0.0,0.0
REM2,promoter,0.0,0.0,0.0,0.0,0.0
RPEL1,mut_important,0.0,0.0,0.0,0.0,0.0
RPEL1,cnv_del,0.0,0.0,0.0,0.0,0.0
RPEL1,cnv_amp,0.0,0.0,0.0,0.0,0.0
RPEL1,promoter,0.0,0.0,0.0,0.0,0.0
UCHL5,mut_important,0.0,0.0,0.0,0.0,0.0
UCHL5,cnv_del,0.0,0.0,0.0,0.0,0.0
UCHL5,cnv_amp,0.0,0.0,0.0,0.0,0.0
UCHL5,promoter,0.0,0.0,0.0,0.0,0.0
TYW3,mut_important,0.0,0.0,0.0,0.0,0.0
TYW3,cnv_del,0.0,0.0,0.0,0.0,0.0
TYW3,cnv_amp,0.0,0.0,0.0,0.0,0.0
TYW3,promoter,0.0,0.0,0.0,0.0,0.0
RNF17,mut_important,0.0,0.0,0.0,0.0,0.0
RNF17,cnv_del,0.0,0.0,0.0,0.0,0.0
RNF17,cnv_amp,0.0,0.0,0.0,0.0,0.0
RNF17,promoter,0.0,0.0,0.0,0.0,0.0
NBEAL1,mut_important,0.0,0.0,0.0,0.0,0.0
NBEAL1,cnv_del,0.0,0.0,0.0,0.0,0.0
NBEAL1,cnv_amp,0.0,0.0,0.0,0.0,0.0
NBEAL1,promoter,0.0,0.0,0.0,0.0,0.0
MZT2A,mut_important,0.0,0.0,0.0,0.0,0.0
MZT2A,cnv_del,0.0,0.0,0.0,0.0,0.0
MZT2A,cnv_amp,0.0,0.0,0.0,0.0,0.0
MZT2A,promoter,0.0,0.0,0.0,0.0,0.0
MZT2B,mut_important,0.0,0.0,0.0,0.0,0.0
MZT2B,cnv_del,0.0,0.0,0.0,0.0,0.0
MZT2B,cnv_amp,0.0,0.0,0.0,0.0,0.0
MZT2B,promoter,0.0,0.0,0.0,0.0,0.0
CHMP1B,mut_important,0.0,0.0,0.0,0.0,0.0
CHMP1B,cnv_del,0.0,0.0,0.0,0.0,0.0
CHMP1B,cnv_amp,0.00011836373,0.00035416626,1.5041037e-06,2.7271595e-05,2.957173e-05
CHMP1B,promoter,2.119801e-05,9.0745336e-05,4.6052655e-06,5.269824e-06,6.2098734e-06
PMM2,mut_important,0.0,0.0,0.0,0.0,0.0
PMM2,cnv_del,0.0,0.0,0.0,0.0,0.0
PMM2,cnv_amp,6.869073e-06,0.01841085,5.1254888e-06,0.00015563652,0.000438261
PMM2,promoter,1.1633889e-05,0.0005716939,1.300804e-06,5.0191534e-06,8.030709e-05
PMM1,mut_important,0.0,0.0,0.0,0.0,0.0
PMM1,cnv_del,8.273202e-06,0.0021997096,7.643279e-05,5.0844696e-06,0.0
PMM1,cnv_amp,0.0,0.0,0.0,0.0,0.0
PMM1,promoter,1.980912e-05,0.0020240268,5.1888755e-06,2.4637371e-05,4.517388e-05
ASS1,mut_important,0.0,0.0,0.0,0.0,0.0
ASS1,cnv_del,0.0,0.0,0.0,0.0,0.0
ASS1,cnv_amp,6.982733e-05,0.0018226686,0.0,0.000107903084,0.0011479127
ASS1,promoter,0.00058056193,0.0054425974,6.2983716e-05,0.00028201312,0.0022115326
FHIT,mut_important,0.0,0.0,0.0,0.0,0.0
FHIT,cnv_del,0.0,0.0,0.0,0.0,0.0
FHIT,cnv_amp,0.0,0.0,0.0,0.0,0.0
FHIT,promoter,1.4908993e-05,9.031547e-05,2.870107e-05,2.4967003e-06,2.377301e-06
ZNF709,mut_important,0.0,0.0,0.0,0.0,0.0
ZNF709,cnv_del,1.0603892e-05,2.7082871e-05,4.546102e-07,1.2036949e-07,1.09561e-07
ZNF709,cnv_amp,4.2871106e-06,4.4908847e-06,1.3930685e-07,7.6177606e-08,1.7719522e-07
ZNF709,promoter,6.627815e-07,9.33442e-07,5.027923e-07,2.5861118e-08,2.0328837e-07
ZNF708,mut_important,0.0,0.0,0.0,0.0,0.0
ZNF708,cnv_del,0.0,0.0,0.0,0.0,0.0
ZNF708,cnv_amp,7.8587684e-05,5.383761e-06,7.640525e-06,5.8337573e-06,6.377562e-05
ZNF708,promoter,0.0017459232,0.0007100873,0.0006283275,1.5943016e-05,0.0011465241
ZNF879,mut_important,0.0,0.0,0.0,0.0,0.0
ZNF879,cnv_del,0.0,0.0,0.0,0.0,0.0
ZNF879,cnv_amp,0.00014438994,5.3552125e-05,1.8246847e-05,6.5437445e-07,4.8600964e-06
ZNF879,promoter,0.0007713863,3.7138907e-05,6.839992e-05,3.9715287e-06,7.0049423e-06
ZNF878,mut_important,0.0,0.0,0.0,0.0,0.0
ZNF878,cnv_del,0.0,0.0,0.0,0.0,0.0
ZNF878,cnv_amp,6.7082533e-06,7.788376e-07,4.0371055e-05,3.5907995e-08,2.8160862e-06
ZNF878,promoter,0.0,0.0,0.0,0.0,0.0
EN1,mut_important,0.0,0.0,0.0,0.0,0.0
EN1,cnv_del,0.0,0.0,0.0,0.0,0.0
EN1,cnv_amp,0.0,0.0,0.0,0.0,0.0
EN1,promoter,0.0,0.0,0.0,0.0,0.0
CAMK1,mut_important,0.0,0.0,0.0,0.0,0.0
CAMK1,cnv_del,0.0,0.0,0.0,0.0,0.0
CAMK1,cnv_amp,0.00038700696,0.0002749706,0.00044675235,3.0983436e-05,1.30129365e-05
CAMK1,promoter,0.0017872425,0.0008192755,0.0014205683,2.4072754e-06,0.0012112356
STYXL1,mut_important,0.0,0.0,0.0,0.0,0.0
STYXL1,cnv_del,0.0,0.0,0.0,0.0,0.0
STYXL1,cnv_amp,0.0,0.0,0.0,0.0,0.0
STYXL1,promoter,0.0,0.0,0.0,0.0,0.0
SPR,mut_important,0.0,0.0,0.0,0.0,0.0
SPR,cnv_del,0.0,0.0,0.0,0.0,0.0
SPR,cnv_amp,0.0,0.0,0.0,0.0,0.0
SPR,promoter,3.5241968e-07,0.0008832261,4.6081395e-06,3.888812e-06,0.000120948855
ZNF700,mut_important,0.0,0.0,0.0,0.0,0.0
ZNF700,cnv_del,0.0,0.0,0.0,0.0,0.0
ZNF700,cnv_amp,5.6414992e-06,2.5733772e-07,3.7979763e-08,1.0506335e-07,4.0247926e-08
ZNF700,promoter,0.0,0.0,0.0,0.0,0.0
ZNF707,mut_important,0.0,0.0,0.0,0.0,0.0
ZNF707,cnv_del,0.0,0.0,0.0,0.0,0.0
ZNF707,cnv_amp,0.0010484124,0.0021741781,0.0032284467,3.077094e-05,0.00072930293
ZNF707,promoter,5.2212832e-05,0.00023824192,0.00031334237,1.5774678e-05,0.00010997115
CAMK4,mut_important,0.0,0.0,0.0,0.0,0.0
CAMK4,cnv_del,0.0,0.0,0.0,0.0,0.0
CAMK4,cnv_amp,0.0,0.0,0.0,0.0,0.0
CAMK4,promoter,0.00052215584,0.00028139155,0.0030318683,3.5748064e-06,3.6355045e-06
ZNF704,mut_important,0.0,0.0,0.0,0.0,0.0
ZNF704,cnv_del,0.0,0.0,0.0,0.0,0.0
ZNF704,cnv_amp,0.0,0.0,0.0,0.0,0.0
ZNF704,promoter,0.0,0.0,0.0,0.0,0.0
ZC3H10,mut_important,0.0,0.0,0.0,0.0,0.0
ZC3H10,cnv_del,0.0,0.0,0.0,0.0,0.0
ZC3H10,cnv_amp,0.0,0.0,0.0,0.0,0.0
ZC3H10,promoter,0.0,0.0,0.0,0.0,0.0
RNF114,mut_important,0.0,0.0,0.0,0.0,0.0
RNF114,cnv_del,0.0,0.0,0.0,0.0,0.0
RNF114,cnv_amp,0.0,0.0,0.0,0.0,0.0
RNF114,promoter,0.0,0.0,0.0,0.0,0.0
RNF115,mut_important,0.0,0.0,0.0,0.0,0.0
RNF115,cnv_del,0.0,0.0,0.0,0.0,0.0
