,coef
UBE2Q1,0.0
RNF14,0.0
UBE2Q2,0.0
RNF10,0.0
RNF11,0.0
RNF13,0.0
REM1,0.0
REM2,0.0
RPEL1,-0.00030851905
UCHL5,0.0
TYW3,0.0
RNF17,0.0
NBEAL1,0.0
MZT2A,0.0
MZT2B,0.0
CHMP1B,0.0020617254
PMM2,-0.0003919684
PMM1,-0.0004085907
ASS1,0.0010358772
FHIT,0.0006309293
ZNF709,-0.00064352463
ZNF708,0.0016871946
ZNF879,0.0007916541
ZNF878,0.00010307096
EN1,0.0
CAMK1,0.0018013165
STYXL1,0.0
SPR,-0.00016639243
ZNF700,-0.00033806177
ZNF707,0.0019242701
CAMK4,0.0018676339
ZNF704,0.0
ZC3H10,0.0
RNF114,0.0
RNF115,0.0
ZC3H15,0.0
ZC3H14,0.0
SPN,0.0
HMGCLL1,-0.00028396677
ZC3H18,0.0
GRIN1,0.0010588099
SP8,0.0
DHX9,0.0
TCOF1,0.0
NSRP1,0.0
NUP98,0.00023163222
XPC,0.0
SP1,-0.0017970297
SP2,0.0
SP3,0.0
SP4,0.0
SP5,0.0
SP6,0.0
SP7,0.0
SPPL3,0.0
GOLIM4,0.0
OPA3,0.0
OPA1,0.0001859321
RAB40C,0.0
RAB40B,0.0
RAB40A,0.0
KRTAP21-2,0.0
FAM162B,0.0
COL7A1,0.0003600554
MDP1,0.0
FAM187B,0.0
KLLN,0.0
FAM183A,0.0
OVCH2,0.0
OVCH1,0.0
PSAP,-0.00015700501
SPPL2A,0.0
SPPL2C,0.0
SPPL2B,0.0
ITGA8,0.00191557
ITGA9,-0.00018177326
UGCG,2.3657061e-05
MYO3B,0.0
ATP2A1,-0.0032797968
ATP2A2,-0.00026333905
ATP2A3,4.854818e-05
ITGA1,7.603004e-05
ITGA2,-0.00047756513
ITGA3,-0.0033799803
ITGA4,-0.0009522227
ITGA5,-0.000496841
ITGA6,-0.0004798356
ITGA7,0.0009408904
TRHR,0.0067412658
DENND4A,0.0
DENND4C,0.0
ELL3,0.0
SWAP70,0.0
RARRES1,0.0
UFSP1,0.0
PHLDA3,0.0
UFSP2,0.0
GAP43,0.0
NABP1,0.0
PAMR1,0.0
