0,coef
C00001,-0.011832205
C00002,-0.010711162
C00003,0.0010542857
C00004,-0.002615947
C00005,0.01438908
C00006,0.009555961
C00007,-0.021204006
C00008,0.017664555
C00009,-0.004296624
C00010,-0.001463099
C00011,0.0045761433
C00012,0.008575769
C00013,0.016175754
C00014,-0.0027594937
C00015,-0.0006752068
C00016,-0.00085002324
C00017,-0.018215088
C00018,0.0061131506
C00019,0.00020993718
C00020,-0.06423818
C00021,0.003950467
C00022,0.012236888
C00023,-0.026916515
C00024,-0.008505498
C00025,-0.1059031
C00026,0.001776981
C00027,0.025714235
C00029,-0.00074746483
C00031,0.001176567
C00032,0.0023229837
C00033,-0.015076966
C00034,0.005012465
C00035,0.01508752
C00036,-0.0030427051
C00037,-0.0073323133
C00038,0.00030487883
C00039,-0.0017592412
C00040,0.006185163
C00041,0.004597781
C00042,-0.0008034989
C00043,-0.0011277116
C00044,-0.0028843712
C00046,-0.049978632
C00047,0.004516929
C00048,0.0053803646
C00049,-0.009413766
C00051,-0.00049167866
C00052,-0.0055769165
C00053,0.0064123464
C00054,-0.0014908965
C00055,0.008301141
C00058,0.00022385307
C00059,-0.001187663
C00061,-0.0048574777
C00062,0.03587687
C00063,0.0046252864
C00064,-0.008889749
C00065,-0.0014324839
C00068,0.0023337628
C00070,0.0067612883
C00071,-0.005590591
C00072,-0.013676676
C00073,0.01118911
C00074,-0.0022734527
C00075,-0.006261402
C00076,-0.021722898
C00077,-0.0029780422
C00078,0.005510692
C00079,0.0033282759
C00080,0.025743067
C00081,-0.0052088248
C00082,0.011828831
C00083,-0.011111597
C00084,0.023362968
C00085,-0.0068424256
C00086,0.024031987
C00087,-0.000456989
C00088,-9.43342e-05
C00089,0.00082368153
C00091,0.0059355334
C00092,0.01460961
C00093,-0.020697396
C00094,-0.008567443
C00095,0.0017243209
C00096,-0.00107671
C00097,0.0018485398
C00098,0.0053986614
C00099,0.001699539
C00100,0.001235274
C00101,-0.0006050052
C00103,-3.4747147e-05
C00104,0.019652963
C00105,0.0018052779
C00106,0.0038110903
C00107,0.00695553
C00108,-0.0008994729
C00109,-0.0034099268
C00110,0.0083051985
C00111,0.008917667
C00112,-0.00028957182
C00114,0.012566472
C00116,-0.030032484
C00117,0.0139590325
C00118,-0.00042851846
C00119,0.009285814
C00120,-0.006645731
C00121,-7.042166e-05
C00122,-0.008412273
C00123,-0.00049603917
C00124,-0.005900434
C00127,0.0066911746
C00128,-0.003378839
C00129,-0.0024068137
C00130,-0.0031015573
C00131,0.0102114165
C00132,-0.0017678002
C00133,-0.003569552
C00134,-0.009368826
C00135,0.002369333
C00136,0.019328175
C00137,-0.012885615
C00140,0.02394105
C00141,0.00041245832
C00143,-0.0016386125
C00144,-0.0051026805
C00146,-0.0033963025
C00147,-0.003485264
C00148,0.014480265
C00149,8.567129e-05
C00151,0.00049781695
C00152,-3.2760156e-05
C00153,-0.0022025954
C00154,0.011056632
C00155,0.010474549
C00156,0.0011976422
C00157,0.0025471293
C00158,0.0016869556
C00159,-0.00279671
C00160,-0.00081204047
C00162,-0.026255636
C00163,-0.0022859275
C00164,0.00017252758
C00165,-0.03764401
C00166,-0.005580395
C00167,0.0031612453
C00168,0.007440524
C00169,0.00034697712
C00170,-0.004306676
C00173,-0.0031482081
C00175,-0.0019341003
C00178,-0.002430661
C00179,0.013462336
C00181,-0.0037050298
C00182,-0.008229633
C00183,0.0037078983
C00184,-0.00088480435
C00185,0.0047025606
C00186,0.012495917
C00187,-0.01292292
C00188,0.0023191671
C00189,0.00043656226
C00190,-0.001987878
C00191,-0.035492275
C00192,0.0010006141
C00194,-0.00055939605
C00195,0.016370619
C00197,-1.4492805e-05
C00198,0.00022126515
C00199,0.0055107
C00203,-0.0020808338
C00204,-0.004379744
C00206,-0.0020734423
C00207,0.0019959505
C00208,-0.002350619
C00209,0.01690271
C00212,-0.0010480843
C00213,-0.006629238
C00214,0.007867378
C00216,-0.00038497246
C00217,-0.0027187553
C00219,0.0048934678
C00221,0.00032712857
C00222,0.0021057308
C00223,0.003932796
C00224,0.00067103567
C00226,-0.0031376856
C00227,-0.0011848971
C00229,-0.003714868
C00231,-0.0006932846
C00232,0.00087688793
C00234,-5.3611457e-05
C00235,-0.0038574683
C00236,0.0059457943
C00238,0.008758787
C00239,-0.007396031
C00242,0.0005737915
C00243,0.00042720576
C00244,-0.0010726465
C00245,-0.009095866
C00246,0.0048350077
C00247,-0.0004456405
C00249,-0.0024184892
C00250,-0.0031018422
C00251,0.0065211765
C00252,0.000867385
C00253,-9.717531e-06
C00255,-0.0031073568
C00256,-0.0050065494
C00257,-0.0052234046
C00258,0.016556932
C00259,-0.0017116348
C00262,-0.002750156
C00263,-0.00022146748
C00264,-0.0008647768
C00266,-0.015054119
C00267,0.0041547497
C00268,-0.0017062647
C00269,-0.0004522712
C00270,0.0002771669
C00272,-0.000735045
C00275,0.0014114375
C00279,0.009044652
C00280,-0.005856556
C00282,0.0006443149
C00283,-0.00047401676
C00286,0.016959218
C00288,0.0003559048
C00290,-0.012743242
C00291,-0.0041196416
C00294,-0.0062522963
C00295,0.0062170033
C00299,-0.0011928612
C00300,0.0012194825
C00301,0.015178367
C00305,0.023313986
C00306,-0.011251172
C00307,-0.000579521
C00309,-0.00029330447
C00310,-0.00058921694
C00311,0.010839815
C00312,-0.0020430812
