,,coef
UBE2Q1,mut_important,0.0
UBE2Q1,cnv_del,0.0
UBE2Q1,cnv_amp,0.0
UBE2Q1,promoter,0.0
RNF14,mut_important,0.0
RNF14,cnv_del,0.0
RNF14,cnv_amp,0.0
RNF14,promoter,0.0
UBE2Q2,mut_important,0.0
UBE2Q2,cnv_del,0.0
UBE2Q2,cnv_amp,0.0
UBE2Q2,promoter,0.0
RNF10,mut_important,0.0
RNF10,cnv_del,0.0
RNF10,cnv_amp,0.0
RNF10,promoter,0.0
RNF11,mut_important,0.0
RNF11,cnv_del,0.0
RNF11,cnv_amp,0.0
RNF11,promoter,0.0
RNF13,mut_important,0.0
RNF13,cnv_del,0.0
RNF13,cnv_amp,0.0
RNF13,promoter,0.0
REM1,mut_important,0.0
REM1,cnv_del,0.0
REM1,cnv_amp,0.0
REM1,promoter,0.0
REM2,mut_important,0.0
REM2,cnv_del,0.0
REM2,cnv_amp,0.0
REM2,promoter,0.0
RPEL1,mut_important,0.0
RPEL1,cnv_del,0.0
RPEL1,cnv_amp,0.0
RPEL1,promoter,0.0
UCHL5,mut_important,0.0
UCHL5,cnv_del,0.0
UCHL5,cnv_amp,0.0
UCHL5,promoter,0.0
TYW3,mut_important,0.0
TYW3,cnv_del,0.0
TYW3,cnv_amp,0.0
TYW3,promoter,0.0
RNF17,mut_important,0.0
RNF17,cnv_del,0.0
RNF17,cnv_amp,0.0
RNF17,promoter,0.0
NBEAL1,mut_important,0.0
NBEAL1,cnv_del,0.0
NBEAL1,cnv_amp,0.0
NBEAL1,promoter,0.0
MZT2A,mut_important,0.0
MZT2A,cnv_del,0.0
MZT2A,cnv_amp,0.0
MZT2A,promoter,0.0
MZT2B,mut_important,0.0
MZT2B,cnv_del,0.0
MZT2B,cnv_amp,0.0
MZT2B,promoter,0.0
CHMP1B,mut_important,0.0
CHMP1B,cnv_del,0.0
CHMP1B,cnv_amp,1.5041037e-06
CHMP1B,promoter,-4.6052655e-06
PMM2,mut_important,0.0
PMM2,cnv_del,0.0
PMM2,cnv_amp,-5.1254888e-06
PMM2,promoter,-1.300804e-06
PMM1,mut_important,0.0
PMM1,cnv_del,-7.643279e-05
PMM1,cnv_amp,0.0
PMM1,promoter,5.1888755e-06
ASS1,mut_important,0.0
ASS1,cnv_del,0.0
ASS1,cnv_amp,0.0
ASS1,promoter,6.2983716e-05
FHIT,mut_important,0.0
FHIT,cnv_del,0.0
FHIT,cnv_amp,0.0
FHIT,promoter,2.870107e-05
ZNF709,mut_important,0.0
ZNF709,cnv_del,-4.546102e-07
ZNF709,cnv_amp,-1.3930685e-07
ZNF709,promoter,-5.027923e-07
ZNF708,mut_important,0.0
ZNF708,cnv_del,0.0
ZNF708,cnv_amp,7.640525e-06
ZNF708,promoter,-0.0006283275
ZNF879,mut_important,0.0
ZNF879,cnv_del,0.0
ZNF879,cnv_amp,1.8246847e-05
ZNF879,promoter,6.839992e-05
ZNF878,mut_important,0.0
ZNF878,cnv_del,0.0
ZNF878,cnv_amp,-4.0371055e-05
ZNF878,promoter,0.0
EN1,mut_important,0.0
EN1,cnv_del,0.0
EN1,cnv_amp,0.0
EN1,promoter,0.0
CAMK1,mut_important,0.0
CAMK1,cnv_del,0.0
CAMK1,cnv_amp,-0.00044675235
CAMK1,promoter,0.0014205683
STYXL1,mut_important,0.0
STYXL1,cnv_del,0.0
STYXL1,cnv_amp,0.0
STYXL1,promoter,0.0
SPR,mut_important,0.0
SPR,cnv_del,0.0
SPR,cnv_amp,0.0
SPR,promoter,4.6081395e-06
ZNF700,mut_important,0.0
ZNF700,cnv_del,0.0
ZNF700,cnv_amp,3.7979763e-08
ZNF700,promoter,0.0
ZNF707,mut_important,0.0
ZNF707,cnv_del,0.0
ZNF707,cnv_amp,0.0032284467
ZNF707,promoter,0.00031334237
CAMK4,mut_important,0.0
CAMK4,cnv_del,0.0
CAMK4,cnv_amp,0.0
CAMK4,promoter,-0.0030318683
ZNF704,mut_important,0.0
ZNF704,cnv_del,0.0
ZNF704,cnv_amp,0.0
ZNF704,promoter,0.0
ZC3H10,mut_important,0.0
ZC3H10,cnv_del,0.0
ZC3H10,cnv_amp,0.0
ZC3H10,promoter,0.0
RNF114,mut_important,0.0
RNF114,cnv_del,0.0
RNF114,cnv_amp,0.0
RNF114,promoter,0.0
RNF115,mut_important,0.0
RNF115,cnv_del,0.0
RNF115,cnv_amp,0.0
RNF115,promoter,0.0
ZC3H15,mut_important,0.0
ZC3H15,cnv_del,0.0
ZC3H15,cnv_amp,0.0
ZC3H15,promoter,0.0
ZC3H14,mut_important,0.0
ZC3H14,cnv_del,0.0
ZC3H14,cnv_amp,0.0
ZC3H14,promoter,0.0
SPN,mut_important,0.0
SPN,cnv_del,0.0
SPN,cnv_amp,0.0
SPN,promoter,0.0
HMGCLL1,mut_important,0.0
HMGCLL1,cnv_del,0.0
HMGCLL1,cnv_amp,-3.308631e-06
HMGCLL1,promoter,0.0
ZC3H18,mut_important,0.0
ZC3H18,cnv_del,0.0
