,,nn_fold_0,nn_fold_1,nn_fold_2,nn_fold_3,nn_fold_4
UBE2Q1,mut_important,,,,,
UBE2Q1,cnv_del,,,,,
UBE2Q1,cnv_amp,,,,,
UBE2Q1,promoter,,,,,
RNF14,mut_important,,,,,
RNF14,cnv_del,,,,,
RNF14,cnv_amp,,,,,
RNF14,promoter,,,,,
UBE2Q2,mut_important,,,,,
UBE2Q2,cnv_del,,,,,
UBE2Q2,cnv_amp,,,,,
UBE2Q2,promoter,,,,,
RNF10,mut_important,,,,,
RNF10,cnv_del,,,,,
RNF10,cnv_amp,,,,,
RNF10,promoter,,,,,
RNF11,mut_important,,,,,
RNF11,cnv_del,,,,,
RNF11,cnv_amp,,,,,
RNF11,promoter,,,,,
RNF13,mut_important,,,,,
RNF13,cnv_del,,,,,
RNF13,cnv_amp,,,,,
RNF13,promoter,,,,,
REM1,mut_important,,,,,
REM1,cnv_del,,,,,
REM1,cnv_amp,,,,,
REM1,promoter,,,,,
REM2,mut_important,,,,,
REM2,cnv_del,,,,,
REM2,cnv_amp,,,,,
REM2,promoter,,,,,
RPEL1,mut_important,,,,,
RPEL1,cnv_del,,,,,
RPEL1,cnv_amp,,,,,
RPEL1,promoter,,,,,
UCHL5,mut_important,,,,,
UCHL5,cnv_del,,,,,
UCHL5,cnv_amp,,,,,
UCHL5,promoter,,,,,
TYW3,mut_important,,,,,
TYW3,cnv_del,,,,,
TYW3,cnv_amp,,,,,
TYW3,promoter,,,,,
RNF17,mut_important,,,,,
RNF17,cnv_del,,,,,
RNF17,cnv_amp,,,,,
RNF17,promoter,,,,,
NBEAL1,mut_important,,,,,
NBEAL1,cnv_del,,,,,
NBEAL1,cnv_amp,,,,,
NBEAL1,promoter,,,,,
MZT2A,mut_important,,,,,
MZT2A,cnv_del,,,,,
MZT2A,cnv_amp,,,,,
MZT2A,promoter,,,,,
MZT2B,mut_important,,,,,
MZT2B,cnv_del,,,,,
MZT2B,cnv_amp,,,,,
MZT2B,promoter,,,,,
CHMP1B,mut_important,,,,,
CHMP1B,cnv_del,,,,,
CHMP1B,cnv_amp,,,,,
CHMP1B,promoter,,,,,
PMM2,mut_important,,,,,
PMM2,cnv_del,,,,,
PMM2,cnv_amp,,,,,
PMM2,promoter,,,,,
PMM1,mut_important,,,,,
PMM1,cnv_del,,,,,
PMM1,cnv_amp,,,,,
PMM1,promoter,,,,,
ASS1,mut_important,,,,,
ASS1,cnv_del,,,,,
ASS1,cnv_amp,,,,,
ASS1,promoter,,,,,
FHIT,mut_important,,,,,
FHIT,cnv_del,,,,,
FHIT,cnv_amp,,,,,
FHIT,promoter,,,,,
ZNF709,mut_important,,,,,
ZNF709,cnv_del,,,,,
ZNF709,cnv_amp,,,,,
ZNF709,promoter,,,,,
ZNF708,mut_important,,,,,
ZNF708,cnv_del,,,,,
ZNF708,cnv_amp,,,,,
ZNF708,promoter,,,,,
ZNF879,mut_important,,,,,
ZNF879,cnv_del,,,,,
ZNF879,cnv_amp,,,,,
ZNF879,promoter,,,,,
