,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2,layer
hsa05200,4.9283790000000005,556.0,0.008863991,0.27915898,9.874152,2.0
hsa04080,1.4346638,415.0,1.4346638,7.934878299999999,0.57804465,2.0
hsa05207,1.1261511,239.0,1.1261511,6.1575356,1.7219898,2.0
hsa05226,0.9686007999999999,153.0,0.9686007999999999,5.249887999999999,2.2595737000000002,2.0
hsa05163,0.94350654,228.0,0.94350654,5.1053195,1.2796034,2.0
hsa05169,0.9387479999999999,201.0,0.9387479999999999,5.0779057,1.5890063,2.0
hsa05167,0.7567413000000001,197.0,0.7567413000000001,4.0293646,1.0645295,2.0
hsa00230,0.7301561,222.0,0.7301561,3.876207,0.6805574999999999,2.0
hsa05223,0.6998736,78.0,0.6998736,3.7017496,2.315281,2.0
hsa05230,0.6470570999999999,106.0,0.6470570999999999,3.3974736000000005,1.8127525000000002,2.0
