,coef
UBE2Q1,0.0
UBE2Q2,0.0
REM1,0.0
REM2,0.0
RPEL1,-0.00012882528
MVB12B,0.0042975894
ATRX,0.0
ASS1,1.9263727e-05
ZNF879,2.4454463e-05
ZNF878,0.001913503
SPR,7.906121e-06
C6orf141,0.0
SPN,0.0
SP8,0.0
TCOF1,0.0
NSRP1,0.0
SP1,0.04941572
SP2,0.0
SP3,0.0
SP4,0.0
SP5,0.0
SP6,0.0
SP7,0.0
SPPL3,0.0
GOLIM4,0.0
OPA3,0.0
OPA1,4.7966832e-06
KLLN,0.0
OVCH2,0.0
OVCH1,0.0
SPPL2A,0.0
SPPL2C,0.0
SPPL2B,0.0
ITGA8,-0.00029253456
ITGA9,-0.00053367513
UGCG,0.002164143
ATP2A1,-0.010444682
ATP2A2,0.0026934068
ATP2A3,-0.05734705
ITGA1,0.006092581
ITGA2,0.013799775
ITGA3,-0.0001943898
ITGA4,-0.16508448
ITGA5,0.02616837
ITGA6,0.012970435
ITGA7,0.0039771874
TRHR,0.0014141384
UFSP1,0.0
UFSP2,0.0
GAP43,0.0
FBXL13,0.0
FBXL12,0.0
FBXL15,0.0
FBXL14,0.0
FBXL17,0.0
FBXL16,0.0
FAM169A,0.0
FAM169B,0.0
SDK1,0.0
SDK2,0.0
GRP,0.006591115
THSD4,0.0
THSD1,0.0
CHST9,4.5872507e-06
CHST8,-0.00042640534
HMGB3P1,0.0
CHST1,0.0
CHST3,-2.2416728e-07
CHST2,0.0
CHST5,0.0
CHST4,0.0
CHST7,1.6282723e-06
CHST6,0.0
ITGAX,-0.00027990915
BCL2A1,6.1065075e-05
ITGAV,-0.002616574
CAMK1,0.0002127228
ITGAL,-0.00054371945
ITGAM,-0.0242575
ITGAD,-0.001216957
COPRS,0.0
AFTPH,0.0
CAMK4,-0.002350313
IGF2R,-0.015490239
SLC36A4,6.213696e-05
SLC36A3,0.00010851364
SLC36A2,-0.00018632262
SLC36A1,0.00022508428
ZC3H15,0.0
ARTN,0.0
ART1,0.0
ART3,0.0
ART5,0.0
ART4,0.0
HMGCLL1,1.8118722e-06
MGC57346,0.0
RFPL1,0.0
CRTAM,0.0
PIPOX,0.00043334567
CADPS2,0.0
RLF,0.0
ATP1A4,0.019786282
ATP1A3,-0.0006394694
ATP1A2,0.015185344
ATP1A1,-0.00052558543
CRTAP,0.0
SPHK2,-0.00015269277
SPHK1,-0.0042924653
ADPGK,0.000377541
CPEB4,0.00025762885
CPEB1,-1.096208e-05
CPEB3,0.00051142724
CPEB2,-0.00016315118
BEGAIN,0.0
SRBD1,0.0
ABAT,0.0009960138
HCAR1,9.947746e-05
TP53TG5,0.0
IFT80,0.0
TP53TG1,0.0
NPY6R,0.0
POU5F1B,0.0
XPA,0.0
KISS1R,0.013320693
ATG4C,0.007769445
ATG4B,2.9716525e-06
ATG4A,0.0027655994
ATG4D,0.00010758268
PHOX2A,0.0
PHOX2B,0.0
UPK2,0.0
CFH,0.0024579877
GPT2,2.1250982e-05
CFD,-0.00014357375
CFB,0.016704101
CFP,-0.0002388929
AAAS,0.0
SIDT1,0.0
SIDT2,0.0
CDH24,0.0
SAGE1,0.0
NAALAD2,0.0
HMG20A,0.0
HMG20B,0.0
C4orf19,0.0
C4orf17,0.0
CREB1,0.00024011961
ZFP82,9.388857e-06
NBEAP1,0.0
INGX,0.0
NRXN3,0.0
NRXN2,0.0
NRXN1,0.0
ABCE1,0.0
MSL3P1,0.0
DPYSL4,0.0
DPYSL5,-0.00033921428
DPYSL2,-0.0005873917
DPYSL3,0.0
OR4D9,-3.3775716e-09
GPR17,0.0
ZNF117,0.0
ZNF114,-2.7864971e-05
ZNF112,9.6551295e-05
SEZ6L,0.0
TMC4,0.0
TMC5,0.0
TMC6,0.0
TMC7,0.0
APIP,0.0011271368
TMC1,0.0
TMC2,0.0
TMC3,0.0
TMC8,0.0
PRKAR2A,0.00056946184
PRKAR2B,-2.919782e-06
MAGT1,0.0
S1PR4,-0.21664241
MLF1,0.0
RSPH9,0.0
FANCF,0.0
RSPH3,0.0
RSPH1,0.0
CEPT1,0.00022826687
PHACTR4,0.0
NLGN2,0.0
OR2K2,2.4922662e-07
PHACTR3,0.0
NUP107,-0.00062907196
KRTAP2-3,0.0
KRTAP2-1,0.0
ASGR1,-0.00022211886
ASGR2,-0.00042296576
API5,0.0
UBE2NL,0.05747112
FANCI,0.0
HLA-DPA1,0.16589946
KIAA1191,0.0
ALOX12P2,0.0
VMP1,0.03351885
ADARB2-AS1,0.0
DENND4C,0.0
C19orf25,0.0
NR1D1,0.0025110976
NR1D2,-2.8282627e-06
DRD1,2.2064947e-05
ITGB1BP1,0.0
ITGB1BP2,0.0
ZAP70,-0.17532618
SYNDIG1,0.0
HNRNPA0,0.0
OGFR,0.0
RAC2,-0.0020045897
RAC3,0.36286968
RAC1,-0.001240305
VCL,0.044575915
CPLX2,-1.9795352e-05
CPLX3,0.0031361084
CPLX1,0.00012764691
CPLX4,-4.5360204e-05
VCX,0.0
PBX4,0.0
PBX2,0.0
PBX3,0.0
PBX1,-0.00084047706
AIRE,0.0
TUBG1,-0.00018034466
PRAMEF5,0.0
PRAMEF6,0.0
TUBG2,-0.000103605424
FAM71F1,0.0
PRAMEF1,0.0
FAM71F2,0.0
PTCH2,0.050021872
PTCH1,0.0642378
PRAMEF8,0.0
TIMM44,0.0
RAD9B,0.021863615
RAD9A,-0.0016490393
ERGIC2,0.0
ERGIC3,0.0
ERGIC1,0.0
CLEC14A,0.0
B3GAT3,7.4812124e-06
B3GAT2,0.00013436553
B3GAT1,-1.1134402e-05
UXT,0.0
CALM2,-0.0032829156
CALM3,0.007248802
SPG21,0.0029179796
CALM1,-0.02589755
GSDMA,0.0
GSDMB,0.0
GSDMC,0.0
GSDMD,2.2478387e-05
UPK1A,0.0
UPK1B,0.0
DLGAP2,0.0
DLGAP3,0.0
DLGAP1,0.00014685039
DLGAP4,0.0
DLGAP5,0.0
HRH2,0.0014355315
CYP27B1,-2.6318954e-05
OIP5,0.0
CLCN3,-0.0003834006
CLCN2,0.0014035442
CLCN1,0.0
CLCN7,0.0
CLCN6,0.0
CLCN5,-0.00014852043
CLCN4,0.001622667
FBXL19,0.0
INO80B-WBP1,0.0
DNAJA2,-0.0067515136
DNAJA3,0.0
DNAJA1,0.004044315
DNAJA4,0.0
GLG1,0.0
PTPN13,9.195845e-05
PTPN12,0.0
PTPN11,0.00035850416
PTPN14,0.0
GALR3,-0.00016112838
GALR2,0.00020367285
GALR1,0.00012003014
UTRN,0.0
LYAR,0.0
MRPL24,0.0
MRPL27,0.0
MRPL21,0.0
MRPL20,0.0
MRPL23,0.0
MRPL22,0.0
MRPL28,0.0
C2orf81,0.0
DMRTB1,0.0
NPTX2,0.0
NPTX1,0.0
C2orf88,0.0
CHD1L,0.0
MSMP,0.0
MZB1,0.0
CDK2,0.022186195
RNF130,0.0
RAPH1,0.0
RNF133,0.0
HLA-DQB1,0.00036195441
RNF135,0.0
HLA-DQB2,0.0
RNF138,0.0
RNF139,0.0
GID4,0.0
MRC1,3.5272948e-05
TSHZ2,0.0
TSHZ3,0.0
TSHZ1,0.0
GID8,0.0
CHML,0.0
FOXS1,0.0
LPAR2,0.0004721172
LINC00622,0.0
HAPLN4,0.0
PKD1L1,0.0
PKD1L2,0.0
LPAR6,0.006209286
CAMKK2,-0.022478675
CAMKK1,-4.4863245e-06
MYDGF,0.0
NPTXR,0.0
LPAR5,-0.024364484
MYO1H,3.5959766e-07
MYO1G,4.2897836e-06
MYO1F,2.6588017e-07
MYO1E,2.6512096e-05
MYO1D,4.233924e-06
MYO1C,-4.6642663e-06
MYO1B,5.6005223e-07
MYO1A,2.1528671e-05
GRN,0.0
PARD6G,0.006532905
CHMP3,2.39214e-05
RPL36AL,5.3167252e-05
CHMP7,0.00011047035
CHMP6,0.0035200638
CHMP5,0.0011414097
DENND6A,0.0
OR52N4,1.0189131e-08
OR52N5,-2.7643239e-08
OR52N2,-9.304899e-08
CTPS2,-0.0009324831
CTPS1,-0.0016263967
OR52N1,8.696098e-08
SULT6B1,0.0
LY6G6C,0.0
HOXA13,0.0
LY6G6E,0.0
HOXA11,0.0
HOXA10,0.0
GTF2I,-0.01603516
GALNTL5,2.2152992e-07
NEMF,0.0
GALNTL6,-9.596737e-07
FER1L6-AS1,0.0
LGALS9,0.0
LGALS8,0.0
LGALS3,0.0
LGALS2,0.0
LGALS1,0.0
LGALS7,0.0
LGALS4,0.0
NMU,0.0003622496
NMS,0.0012348873
KRTAP11-1,0.0
TDG,0.0
NMB,0.00021033769
MYO19,0.0
ELN,0.00010964543
MYO16,0.0
TRNT1,0.0
MYO10,0.0009180272
XIST,0.0
KRT28,-5.4488096e-06
TBX2,0.0
LRRC27,0.0
LRRC26,0.0
LRRC25,0.0
LRRC24,0.0
KIAA1522,0.0
MPDU1,0.0
LRRC20,0.0
LPGAT1,0.00484899
LRRC29,0.0
LRRC28,0.0
GCNT4,-6.229317e-07
GCNT1,1.4839038e-06
GCNT3,-1.4599224e-06
GCNT2,-1.8546302e-06
LPCAT4,0.0052568517
LPCAT2,-0.0016571463
LPCAT3,0.0051476834
LPCAT1,0.00083687104
MID1IP1,0.0
ILKAP,0.0
WRAP53,0.0
KRT25,0.00022732922
RMND1,0.0
TAX1BP1,0.0
CCDC179,0.0
ALPP,5.860093e-06
CCDC170,0.0
CCDC171,0.0
CCDC172,0.0
CCDC173,0.0
CCDC174,0.0
CCDC175,0.0
CCDC177,0.0
PDK1,0.0011796401
PDK3,0.01402872
PDK2,3.0345193e-06
EBP,-1.6036641e-07
PDK4,0.0015482709
