,degree,fanout,fanin
UBE2Q1,1.0,1.0,1.0
UBE2Q2,1.0,1.0,1.0
REM1,0.0,0.0,1.0
REM2,0.0,0.0,1.0
RPEL1,2.0,2.0,1.0
MVB12B,1.0,1.0,1.0
ATRX,0.0,0.0,1.0
ASS1,2.0,2.0,1.0
ZNF879,1.0,1.0,1.0
ZNF878,1.0,1.0,1.0
SPR,1.0,1.0,1.0
C6orf141,0.0,0.0,1.0
SPN,1.0,1.0,1.0
SP8,0.0,0.0,1.0
TCOF1,1.0,1.0,1.0
NSRP1,0.0,0.0,1.0
SP1,12.0,12.0,1.0
SP2,0.0,0.0,1.0
SP3,0.0,0.0,1.0
SP4,0.0,0.0,1.0
SP5,0.0,0.0,1.0
SP6,0.0,0.0,1.0
SP7,0.0,0.0,1.0
SPPL3,0.0,0.0,1.0
GOLIM4,0.0,0.0,1.0
OPA3,0.0,0.0,1.0
OPA1,1.0,1.0,1.0
KLLN,0.0,0.0,1.0
OVCH2,0.0,0.0,1.0
OVCH1,0.0,0.0,1.0
SPPL2A,0.0,0.0,1.0
SPPL2C,0.0,0.0,1.0
SPPL2B,0.0,0.0,1.0
ITGA8,9.0,9.0,1.0
ITGA9,9.0,9.0,1.0
UGCG,1.0,1.0,1.0
ATP2A1,14.0,14.0,1.0
ATP2A2,14.0,14.0,1.0
ATP2A3,14.0,14.0,1.0
ITGA1,9.0,9.0,1.0
ITGA2,14.0,14.0,1.0
ITGA3,11.0,11.0,1.0
ITGA4,14.0,14.0,1.0
ITGA5,18.0,18.0,1.0
ITGA6,13.0,13.0,1.0
ITGA7,8.0,8.0,1.0
TRHR,2.0,2.0,1.0
UFSP1,0.0,0.0,1.0
UFSP2,0.0,0.0,1.0
GAP43,0.0,0.0,1.0
FBXL13,0.0,0.0,1.0
FBXL12,0.0,0.0,1.0
FBXL15,0.0,0.0,1.0
FBXL14,0.0,0.0,1.0
FBXL17,0.0,0.0,1.0
FBXL16,0.0,0.0,1.0
FAM169A,0.0,0.0,1.0
FAM169B,0.0,0.0,1.0
SDK1,0.0,0.0,1.0
SDK2,0.0,0.0,1.0
GRP,1.0,1.0,1.0
THSD4,1.0,1.0,1.0
THSD1,0.0,0.0,1.0
CHST9,1.0,1.0,1.0
CHST8,1.0,1.0,1.0
HMGB3P1,0.0,0.0,1.0
CHST1,1.0,1.0,1.0
CHST3,1.0,1.0,1.0
CHST2,1.0,1.0,1.0
CHST5,0.0,0.0,1.0
CHST4,1.0,1.0,1.0
CHST7,1.0,1.0,1.0
CHST6,1.0,1.0,1.0
ITGAX,3.0,3.0,1.0
BCL2A1,4.0,4.0,1.0
ITGAV,16.0,16.0,1.0
CAMK1,4.0,4.0,1.0
ITGAL,11.0,11.0,1.0
ITGAM,15.0,15.0,1.0
ITGAD,1.0,1.0,1.0
COPRS,0.0,0.0,1.0
AFTPH,0.0,0.0,1.0
CAMK4,13.0,13.0,1.0
IGF2R,3.0,3.0,1.0
SLC36A4,1.0,1.0,1.0
SLC36A3,1.0,1.0,1.0
SLC36A2,1.0,1.0,1.0
SLC36A1,1.0,1.0,1.0
ZC3H15,0.0,0.0,1.0
ARTN,0.0,0.0,1.0
ART1,0.0,0.0,1.0
