,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
C00001,-0.012034319,15.0,-0.012034319,-0.49195316,-3.7050629
C00002,0.10278508,23.0,0.0044689164,0.031835485,-5.0222926
C00003,0.0013158638,11.0,0.0013158638,-0.06823781,-2.4333408
C00004,0.00153145,5.0,0.00153145,-0.06139542,-0.69740164
C00005,0.0001504076,7.0,0.0001504076,-0.105227694,-1.2873917
C00006,0.018625308,9.0,0.018625308,0.48113874,-1.7053376
C00007,0.0069377935,8.0,0.0069377935,0.11019404,-1.5175936
C00008,0.15900217,14.0,0.15900217,4.936496,-1.9340867
C00009,4.432386e-05,6.0,4.432386e-05,-0.10859463,-0.9992988
C00010,3.7854017e-05,8.0,3.7854017e-05,-0.10879998,-1.5773789
C00011,0.004357647,13.0,0.004357647,0.02830396,-2.9850092
C00012,0.08107601,3.0,0.08107601,2.463233,0.5698448
C00013,-0.0036336768,4.0,-0.0036336768,-0.22532903,-0.45314345
C00014,-0.0019603623,10.0,-0.0019603623,-0.17222045,-2.1727164
C00015,-8.904532e-06,3.0,-8.904532e-06,-0.11028403,-0.13272427
C00016,2.0799112e-05,3.0,2.0799112e-05,-0.10934127,-0.1324669
C00017,0.0001053347,3.0,0.0001053347,-0.10665824,-0.13173443
C00018,-0.00023374314,4.0,-0.00023374314,-0.11742008,-0.42368433
C00019,0.00094209163,5.0,0.00094209163,-0.08010079,-0.7025082
C00020,-0.0021042419,19.0,-0.0021042419,-0.17678697,-4.77507
C00021,0.015889812,3.0,0.015889812,0.39431807,0.0050318837
C00022,0.100255266,28.0,0.0035805453,0.0036398806,-6.4892726
C00023,0.0013415901,2.0,0.0013415901,-0.067421295,0.16798916
C00024,0.06906813,29.0,0.0023816596,-0.034411006,-7.048508
C00025,0.40247008,37.0,0.01087757,0.23523682,-6.471806
C00026,-0.0092979,17.0,-0.0092979,-0.4051032,-4.2593765
C00027,0.29326743,32.0,0.009164607,0.18086986,-5.9729447
C00029,0.0016327167,7.0,0.0016327167,-0.05818136,-1.2745479
C00031,0.2582725,24.0,0.010761354,0.2315483,-3.9640672
C00032,-0.00017544086,5.0,-0.00017544086,-0.11556965,-0.71219116
C00033,0.0017717282,12.0,0.0017717282,-0.05376934,-2.718403
C00034,-0.00023883996,3.0,-0.00023883996,-0.117581844,-0.13471657
C00035,0.04415674,6.0,0.04415674,1.2914692,-0.61708194
C00036,0.010692359,9.0,0.010692359,0.22935848,-1.7740736
C00037,0.23013604,17.0,0.23013604,7.194181,-2.1847756
C00038,-0.00019632773,4.0,-0.00019632773,-0.11623257,-0.42336017
C00039,0.73503363,9.0,0.73503363,23.218895,4.50206
C00040,0.11367731,10.0,0.11367731,3.4979508,-1.1707611
C00041,0.00096947426,11.0,0.00096947426,-0.07923171,-2.4363422
C00042,-0.007277509,16.0,-0.007277509,-0.34097895,-3.9528584
C00043,0.00048504016,4.0,0.00048504016,-0.09460694,-0.4174564
C00044,0.09267711,9.0,0.09267711,2.831435,-1.0637078
C00046,-6.559953e-05,6.0,-6.559953e-05,-0.11208344,-1.0002513
C00047,-0.00062248093,7.0,-0.00062248093,-0.12975806,-1.2940884
C00048,0.0075926087,5.0,0.0075926087,0.13097693,-0.64488405
C00049,-0.0066606863,13.0,-0.0066606863,-0.32140186,-3.0804784
