,,root
UBE2Q1,mut_important,-6.7557844e-06
UBE2Q1,cnv_del,0.012932632
UBE2Q1,cnv_amp,-0.041466296
UBE2Q1,promoter,-0.011130045
UBE2Q2,mut_important,2.6745133e-07
UBE2Q2,cnv_del,-0.03187006
UBE2Q2,cnv_amp,0.09131525
UBE2Q2,promoter,0.00031643908
REM1,mut_important,7.713654e-06
REM1,cnv_del,-0.028198395
REM1,cnv_amp,-0.01210992
REM1,promoter,-0.02075393
REM2,mut_important,4.6252921e-07
REM2,cnv_del,0.018180499
REM2,cnv_amp,0.0067968303
REM2,promoter,-1.170411e-06
RPEL1,mut_important,6.8152394e-07
RPEL1,cnv_del,-0.01612204
RPEL1,cnv_amp,-0.03568937
RPEL1,promoter,-2.0401662e-06
MVB12B,mut_important,-6.541195e-07
MVB12B,cnv_del,-0.4079144
MVB12B,cnv_amp,-0.037554327
MVB12B,promoter,0.072476506
ATRX,mut_important,-8.047937e-08
ATRX,cnv_del,-0.004510778
ATRX,cnv_amp,-0.0026356399
ATRX,promoter,2.4727756e-06
ASS1,mut_important,2.5019226e-06
ASS1,cnv_del,0.016987454
ASS1,cnv_amp,-0.035098456
ASS1,promoter,0.012904563
ZNF879,mut_important,-1.4166455e-06
ZNF879,cnv_del,-0.076455526
ZNF879,cnv_amp,-0.028606353
ZNF879,promoter,-0.021610074
ZNF878,mut_important,1.1299774e-06
ZNF878,cnv_del,-0.17640701
ZNF878,cnv_amp,0.16985594
ZNF878,promoter,1.7062998e-06
SPR,mut_important,1.6718234e-06
SPR,cnv_del,0.14341165
SPR,cnv_amp,0.009052104
SPR,promoter,0.018724969
C6orf141,mut_important,-2.2416198e-06
C6orf141,cnv_del,0.023707079
C6orf141,cnv_amp,-0.02947838
C6orf141,promoter,-0.026859581
SPN,mut_important,4.0002005e-06
SPN,cnv_del,-0.004346486
SPN,cnv_amp,-0.101968326
SPN,promoter,-2.9836847e-06
SP8,mut_important,-2.8340835e-06
SP8,cnv_del,-0.018381683
SP8,cnv_amp,-0.026001507
SP8,promoter,5.349482e-06
TCOF1,mut_important,-5.478724e-06
TCOF1,cnv_del,-0.0020572816
TCOF1,cnv_amp,0.021559192
TCOF1,promoter,-0.005268593
NSRP1,mut_important,2.476038e-07
NSRP1,cnv_del,0.019809885
NSRP1,cnv_amp,-0.004722573
NSRP1,promoter,0.007620165
SP1,mut_important,1.6946283e-06
SP1,cnv_del,-0.3107019
SP1,cnv_amp,0.109403536
SP1,promoter,-0.20421138
SP2,mut_important,2.654613e-07
SP2,cnv_del,-0.0013617892
SP2,cnv_amp,0.0013139893
SP2,promoter,-0.000546713
SP3,mut_important,-2.8850964e-06
SP3,cnv_del,0.012943842
SP3,cnv_amp,-0.00766087
SP3,promoter,0.0019858396
SP4,mut_important,3.3934925e-06
SP4,cnv_del,-0.033927903
SP4,cnv_amp,0.0026304459
SP4,promoter,-0.0069798734
SP5,mut_important,1.7376013e-06
SP5,cnv_del,-0.03154107
SP5,cnv_amp,0.0038227988
SP5,promoter,-2.10887e-06
SP6,mut_important,-1.7295038e-06
SP6,cnv_del,0.000609387
SP6,cnv_amp,0.0003457102
SP6,promoter,-0.0009833297
SP7,mut_important,-1.7489157e-06
SP7,cnv_del,-0.010877935
SP7,cnv_amp,-0.011447556
SP7,promoter,-0.0054599177
SPPL3,mut_important,-3.9994006e-07
SPPL3,cnv_del,0.021205444
SPPL3,cnv_amp,0.0016427184
SPPL3,promoter,0.0073582004
GOLIM4,mut_important,-1.5475047e-06
GOLIM4,cnv_del,-0.002573141
GOLIM4,cnv_amp,0.0013375226
GOLIM4,promoter,0.0021592765
OPA3,mut_important,6.435412e-06
OPA3,cnv_del,0.041757952
OPA3,cnv_amp,0.02857833
OPA3,promoter,6.6866714e-06
OPA1,mut_important,2.8712948e-06
OPA1,cnv_del,0.010714514
OPA1,cnv_amp,0.07274567
OPA1,promoter,-0.05038126
KLLN,mut_important,-1.5361138e-08
KLLN,cnv_del,0.039075393
KLLN,cnv_amp,0.0040002842
KLLN,promoter,0.01545151
OVCH2,mut_important,-5.140041e-07
OVCH2,cnv_del,0.007848256
OVCH2,cnv_amp,0.002488308
OVCH2,promoter,3.8475235e-08
OVCH1,mut_important,-3.2146409e-06
OVCH1,cnv_del,-0.039148457
OVCH1,cnv_amp,-0.17666663
OVCH1,promoter,-1.1140904e-07
SPPL2A,mut_important,4.6422915e-06
SPPL2A,cnv_del,0.0012938477
SPPL2A,cnv_amp,0.00035437406
SPPL2A,promoter,0.0025007578
SPPL2C,mut_important,-1.502446e-06
SPPL2C,cnv_del,0.03063824
SPPL2C,cnv_amp,-0.022676067
SPPL2C,promoter,6.750377e-06
SPPL2B,mut_important,-7.840763e-06
SPPL2B,cnv_del,-0.004999996
SPPL2B,cnv_amp,0.005877996
SPPL2B,promoter,-0.006077897
ITGA8,mut_important,-4.619303e-06
ITGA8,cnv_del,-0.0062962915
ITGA8,cnv_amp,0.092537045
ITGA8,promoter,-3.478411e-07
ITGA9,mut_important,2.1406231e-07
ITGA9,cnv_del,0.018289657
ITGA9,cnv_amp,-0.18794048
ITGA9,promoter,-0.09151927
UGCG,mut_important,-2.0581554e-06
UGCG,cnv_del,-0.19987231
UGCG,cnv_amp,-0.037533447
UGCG,promoter,-0.004572914
ATP2A1,mut_important,-1.5242555e-06
ATP2A1,cnv_del,-0.008719966
ATP2A1,cnv_amp,0.14568362
ATP2A1,promoter,0.19683917
ATP2A2,mut_important,-9.939573e-07
ATP2A2,cnv_del,0.115491234
ATP2A2,cnv_amp,-0.21047737
ATP2A2,promoter,0.046594426
ATP2A3,mut_important,1.9620197e-06
ATP2A3,cnv_del,0.16056535
ATP2A3,cnv_amp,0.102582954
ATP2A3,promoter,0.0276247
ITGA1,mut_important,2.110161e-06
ITGA1,cnv_del,0.22460116
ITGA1,cnv_amp,0.12231756
ITGA1,promoter,-0.23056658
ITGA2,mut_important,-6.388899e-07
ITGA2,cnv_del,0.2373656
ITGA2,cnv_amp,0.037752982
ITGA2,promoter,-0.0077991886
ITGA3,mut_important,6.5467557e-06
ITGA3,cnv_del,-0.00527693
ITGA3,cnv_amp,0.013450377
ITGA3,promoter,0.0057741157
ITGA4,mut_important,3.966575e-06
ITGA4,cnv_del,0.0922251
ITGA4,cnv_amp,0.10317053
ITGA4,promoter,-0.27802217
ITGA5,mut_important,-7.139735e-07
ITGA5,cnv_del,0.25068355
ITGA5,cnv_amp,-0.42419952
ITGA5,promoter,0.28414997
ITGA6,mut_important,-2.2703429e-07
ITGA6,cnv_del,-0.21429256
ITGA6,cnv_amp,-0.42733783
ITGA6,promoter,-0.094776236
ITGA7,mut_important,-3.1470283e-06
ITGA7,cnv_del,0.26898175
ITGA7,cnv_amp,-0.15591769
ITGA7,promoter,0.20315516
TRHR,mut_important,3.4464442e-06
TRHR,cnv_del,0.30653343
TRHR,cnv_amp,-0.031709757
TRHR,promoter,1.24094015e-08
UFSP1,mut_important,2.2130873e-05
UFSP1,cnv_del,0.0020279866
UFSP1,cnv_amp,0.0018483083
UFSP1,promoter,-0.0014120701
UFSP2,mut_important,-4.0566715e-06
UFSP2,cnv_del,-0.017727261
UFSP2,cnv_amp,-0.007966139
UFSP2,promoter,2.2879549e-06
GAP43,mut_important,3.6939168e-06
GAP43,cnv_del,-0.0008512256
GAP43,cnv_amp,0.02370879
GAP43,promoter,-1.8104183e-06
FBXL13,mut_important,-1.1980702e-06
FBXL13,cnv_del,0.0074931057
FBXL13,cnv_amp,-0.0031467676
FBXL13,promoter,0.003970566
FBXL12,mut_important,3.5783876e-06
FBXL12,cnv_del,-0.015114496
FBXL12,cnv_amp,0.0077956375
FBXL12,promoter,-0.012013225
FBXL15,mut_important,-8.0721935e-07
FBXL15,cnv_del,-0.04197859
FBXL15,cnv_amp,-0.009640912
FBXL15,promoter,4.1347965e-07
FBXL14,mut_important,5.1448137e-06
FBXL14,cnv_del,-0.043403298
FBXL14,cnv_amp,-0.06664246
FBXL14,promoter,0.0023172868
FBXL17,mut_important,1.4332797e-06
FBXL17,cnv_del,0.0014199405
FBXL17,cnv_amp,-0.00043425188
FBXL17,promoter,-0.00015809071
FBXL16,mut_important,-1.8323874e-06
FBXL16,cnv_del,0.0038736938
FBXL16,cnv_amp,-0.00036116713
FBXL16,promoter,-0.0035489677
FAM169A,mut_important,-2.3851749e-06
FAM169A,cnv_del,-0.0034242861
FAM169A,cnv_amp,0.011683737
FAM169A,promoter,0.015034612
FAM169B,mut_important,-2.5263519e-06
FAM169B,cnv_del,0.022354383
FAM169B,cnv_amp,-0.002066897
FAM169B,promoter,-4.910962e-07
SDK1,mut_important,-4.082751e-06
SDK1,cnv_del,-0.019986883
SDK1,cnv_amp,-0.55000764
SDK1,promoter,0.22983351
SDK2,mut_important,-6.4293345e-06
SDK2,cnv_del,-0.029258024
SDK2,cnv_amp,-0.048791245
SDK2,promoter,-0.023984322
GRP,mut_important,3.1645186e-06
GRP,cnv_del,-0.12195359
GRP,cnv_amp,0.48430237
GRP,promoter,-0.019730099
THSD4,mut_important,-5.150322e-06
THSD4,cnv_del,0.0072644376
THSD4,cnv_amp,-0.0012656647
THSD4,promoter,-1.3404002e-07
THSD1,mut_important,-1.6384254e-06
THSD1,cnv_del,-0.00426593
THSD1,cnv_amp,0.020583954
THSD1,promoter,6.847223e-07
CHST9,mut_important,1.9028232e-07
CHST9,cnv_del,-0.086399525
CHST9,cnv_amp,-0.0052539883
CHST9,promoter,1.1723448e-06
CHST8,mut_important,1.9375925e-06
CHST8,cnv_del,0.10468071
CHST8,cnv_amp,0.22135682
CHST8,promoter,0.44176096
HMGB3P1,mut_important,9.892906e-07
HMGB3P1,cnv_del,-0.027297568
HMGB3P1,cnv_amp,-0.021375842
HMGB3P1,promoter,9.942754e-07
CHST1,mut_important,1.6908248e-06
CHST1,cnv_del,-0.0068872524
CHST1,cnv_amp,0.006491634
CHST1,promoter,-0.019761402
CHST3,mut_important,-5.8650166e-06
CHST3,cnv_del,0.020496719
CHST3,cnv_amp,0.007171072
CHST3,promoter,0.011169109
CHST2,mut_important,1.06186e-06
CHST2,cnv_del,0.0034134847
CHST2,cnv_amp,0.002256822
CHST2,promoter,-0.0150898835
CHST5,mut_important,2.227444e-06
CHST5,cnv_del,-0.013791101
CHST5,cnv_amp,0.0026582442
CHST5,promoter,5.3514686e-06
CHST4,mut_important,4.031417e-07
CHST4,cnv_del,0.056497242
CHST4,cnv_amp,0.0032224883
CHST4,promoter,2.6833823e-06
CHST7,mut_important,-6.632329e-07
CHST7,cnv_del,0.0924336
CHST7,cnv_amp,-0.020534078
CHST7,promoter,0.008194368
CHST6,mut_important,2.4713217e-06
CHST6,cnv_del,-0.00023439538
CHST6,cnv_amp,1.0648277e-05
CHST6,promoter,-0.008963116
ITGAX,mut_important,-2.6822931e-06
ITGAX,cnv_del,-0.05082748
ITGAX,cnv_amp,0.1068512
ITGAX,promoter,-3.0112794e-06
BCL2A1,mut_important,-4.270447e-06
BCL2A1,cnv_del,-0.017279081
BCL2A1,cnv_amp,-0.07966707
BCL2A1,promoter,2.1510175e-06
ITGAV,mut_important,-2.4590975e-06
ITGAV,cnv_del,-0.29270545
ITGAV,cnv_amp,-0.08827007
ITGAV,promoter,0.17271118
CAMK1,mut_important,2.5217785e-06
CAMK1,cnv_del,0.04924884
CAMK1,cnv_amp,-0.16899626
CAMK1,promoter,-0.057940304
ITGAL,mut_important,-9.0819583e-07
ITGAL,cnv_del,0.007495937
ITGAL,cnv_amp,-0.03171011
ITGAL,promoter,4.9826417e-06
ITGAM,mut_important,7.8011435e-06
ITGAM,cnv_del,-0.10651279
ITGAM,cnv_amp,0.2672407
ITGAM,promoter,4.8629187e-07
ITGAD,mut_important,-3.6452786e-06
ITGAD,cnv_del,-0.054988172
ITGAD,cnv_amp,0.18158747
ITGAD,promoter,-3.4739573e-06
COPRS,mut_important,-5.390207e-07
COPRS,cnv_del,-6.210522e-05
COPRS,cnv_amp,-0.020904457
COPRS,promoter,1.2517335e-06
AFTPH,mut_important,2.5580832e-06
AFTPH,cnv_del,-0.04814331
AFTPH,cnv_amp,-0.0014411125
AFTPH,promoter,0.011496246
CAMK4,mut_important,4.003565e-06
CAMK4,cnv_del,-0.14467207
CAMK4,cnv_amp,0.0007275778
CAMK4,promoter,0.03770665
IGF2R,mut_important,3.3585002e-06
IGF2R,cnv_del,0.43870917
IGF2R,cnv_amp,-0.07280029
IGF2R,promoter,0.24635588
SLC36A4,mut_important,6.489443e-06
SLC36A4,cnv_del,0.027047332
SLC36A4,cnv_amp,-0.01621152
SLC36A4,promoter,-0.038675733
SLC36A3,mut_important,3.819699e-06
SLC36A3,cnv_del,0.11931057
SLC36A3,cnv_amp,-0.1145765
SLC36A3,promoter,3.5019848e-06
SLC36A2,mut_important,-1.0701532e-06
SLC36A2,cnv_del,0.06395091
SLC36A2,cnv_amp,-0.044005238
SLC36A2,promoter,3.0056303e-06
SLC36A1,mut_important,-1.9722934e-06
SLC36A1,cnv_del,-4.1901134e-05
SLC36A1,cnv_amp,-0.032437883
SLC36A1,promoter,0.0035940232
ZC3H15,mut_important,2.2768272e-06
ZC3H15,cnv_del,-0.0035949894
ZC3H15,cnv_amp,0.0068806144
ZC3H15,promoter,-0.0048097055
ARTN,mut_important,1.2923545e-06
ARTN,cnv_del,-0.00920664
ARTN,cnv_amp,-0.006843469
ARTN,promoter,1.3637597e-07
ART1,mut_important,3.475083e-06
ART1,cnv_del,0.004187406
ART1,cnv_amp,0.0020639994
ART1,promoter,2.4002916e-06
ART3,mut_important,1.500892e-06
ART3,cnv_del,0.007295373
ART3,cnv_amp,0.007851526
ART3,promoter,1.1624634e-06
ART5,mut_important,-5.845928e-08
ART5,cnv_del,-0.012778827
ART5,cnv_amp,-0.006933031
ART5,promoter,-0.009904635
ART4,mut_important,-6.6327602e-06
ART4,cnv_del,0.008201746
ART4,cnv_amp,-0.004825777
ART4,promoter,-1.2857565e-06
HMGCLL1,mut_important,-2.2603233e-06
HMGCLL1,cnv_del,-0.13620284
HMGCLL1,cnv_amp,0.049345717
HMGCLL1,promoter,3.894012e-06
MGC57346,mut_important,-4.730218e-06
MGC57346,cnv_del,-1.3941606e-06
MGC57346,cnv_amp,-4.249657e-06
MGC57346,promoter,-0.0058731856
RFPL1,mut_important,2.1777773e-06
RFPL1,cnv_del,0.017135713
RFPL1,cnv_amp,0.024476957
RFPL1,promoter,1.27734e-06
CRTAM,mut_important,-5.1241545e-06
CRTAM,cnv_del,-0.003285382
CRTAM,cnv_amp,0.00057712215
CRTAM,promoter,-9.863686e-08
PIPOX,mut_important,2.3694415e-06
PIPOX,cnv_del,-0.11799718
PIPOX,cnv_amp,-0.12228447
PIPOX,promoter,7.838326e-06
CADPS2,mut_important,-2.854093e-06
CADPS2,cnv_del,0.03942351
CADPS2,cnv_amp,0.03719513
CADPS2,promoter,0.023524169
RLF,mut_important,5.8241717e-06
RLF,cnv_del,-0.0016253726
RLF,cnv_amp,-0.0009850686
RLF,promoter,-1.5618105e-05
ATP1A4,mut_important,-1.4780055e-06
ATP1A4,cnv_del,-0.13420874
ATP1A4,cnv_amp,0.17385943
ATP1A4,promoter,8.6055195e-07
ATP1A3,mut_important,-1.7892287e-06
ATP1A3,cnv_del,0.020954985
ATP1A3,cnv_amp,-0.03731456
ATP1A3,promoter,0.09603261
ATP1A2,mut_important,-5.862081e-06
ATP1A2,cnv_del,0.072184294
ATP1A2,cnv_amp,-0.1690517
ATP1A2,promoter,-4.492047e-06
ATP1A1,mut_important,1.0518957e-06
ATP1A1,cnv_del,0.004610347
ATP1A1,cnv_amp,0.018624153
ATP1A1,promoter,0.21126899
CRTAP,mut_important,6.672592e-06
CRTAP,cnv_del,0.006704541
CRTAP,cnv_amp,0.00955631
CRTAP,promoter,0.0010007586
SPHK2,mut_important,-3.9446013e-06
SPHK2,cnv_del,0.01156637
SPHK2,cnv_amp,0.018724767
SPHK2,promoter,-0.004202043
SPHK1,mut_important,9.99378e-07
SPHK1,cnv_del,0.067511834
SPHK1,cnv_amp,0.12182096
SPHK1,promoter,0.023457533
ADPGK,mut_important,-2.719691e-06
ADPGK,cnv_del,0.05714289
ADPGK,cnv_amp,0.029274456
ADPGK,promoter,-0.06224539
CPEB4,mut_important,1.5740317e-06
CPEB4,cnv_del,0.0073381662
CPEB4,cnv_amp,0.11234248
CPEB4,promoter,-0.011207245
CPEB1,mut_important,-4.188255e-06
CPEB1,cnv_del,-0.023231668
CPEB1,cnv_amp,0.00058086624
CPEB1,promoter,0.0249985
CPEB3,mut_important,1.8279559e-06
CPEB3,cnv_del,-0.12133604
CPEB3,cnv_amp,-0.11987894
CPEB3,promoter,-0.08131372
