0,root
C00001,0.01731728
C00002,0.057189256
C00003,0.011607775
C00004,0.015563451
C00005,-0.0034695242
C00006,0.0630256
C00007,-0.016720481
C00008,-0.061655402
C00009,-0.0018900795
C00010,0.0007704386
C00011,0.028136998
C00012,0.078360364
C00013,0.009148477
C00014,-0.008897366
C00015,-0.00022326614
C00016,-0.0072029773
C00017,0.0006071632
C00018,-0.010219281
C00019,0.0052150097
C00020,0.0038719908
C00021,0.03898312
C00022,-0.05213782
C00023,-0.007142364
C00024,0.052360788
C00025,-0.087529376
C00026,-0.01820302
C00027,0.063121036
C00029,0.0058416124
C00031,-0.09145498
C00032,-0.0015609597
C00033,-0.006956222
C00034,0.020743737
C00035,-0.045118123
C00036,-0.02190563
C00037,0.08578254
C00038,-0.0070876395
C00039,-0.13568106
C00040,0.0756575
C00041,-0.004465826
C00042,-0.011128026
C00043,0.0070599914
C00044,0.046811037
C00046,-0.0015273499
C00047,0.012270633
C00048,0.01971808
C00049,0.009654202
C00051,-0.0003318123
C00052,-0.007662396
C00053,0.02077423
C00054,-0.014234204
C00055,0.0036352123
C00058,-0.013884009
C00059,-0.0003806432
C00061,0.012955852
C00062,-0.010389787
C00063,-0.0019610203
C00064,-0.014966513
C00065,-0.0099035185
C00068,0.0060035726
C00070,0.023823481
C00071,-0.011460727
C00072,0.008135222
C00073,0.00072933664
C00074,0.00021733856
C00075,-0.0027586813
C00076,-0.31071293
C00077,-0.00691407
C00078,0.00044642156
C00079,-0.018259345
C00080,0.057858087
C00081,0.010497921
C00082,0.056411788
C00083,0.0051030307
C00084,-0.0033609224
C00085,0.035015732
C00086,0.00452434
C00087,-0.00016275642
C00088,-0.0040768115
C00089,-0.005112879
C00091,-0.011965023
C00092,0.0035585738
C00093,0.0025134715
C00094,0.011903953
C00095,0.0020345498
C00096,-0.008637873
C00097,-0.023207188
C00098,0.004210521
C00099,0.013174027
C00100,0.010947403
C00101,-0.0024951596
C00103,0.0002462403
C00104,-0.022861594
C00105,0.001531018
C00106,0.013136741
C00107,-0.0029350426
C00108,0.0026265592
C00109,-0.0001151507
C00110,0.005681685
C00111,-0.010052413
C00112,0.00074819726
C00114,-0.007690396
C00116,0.0032749781
C00117,0.0302788
C00118,0.019084558
C00119,-6.7595276e-05
C00120,0.0024372572
C00121,-0.007254588
C00122,-0.07861757
C00123,0.13026993
C00124,0.009849019
C00127,0.0024488065
C00128,0.0100187985
C00129,-0.002218532
C00130,0.0033966466
C00131,0.014454554
C00132,0.0026756441
C00133,0.0007419955
C00134,0.011173093
C00135,-0.006887046
C00136,0.015166195
C00137,-0.01431115
C00140,0.010203843
C00141,0.0009468787
C00143,0.00040748692
C00144,0.054145724
C00146,-0.02347853
C00147,-0.01369312
C00148,0.016533976
C00149,0.12168889
C00151,-0.004743322
C00152,-0.011356995
C00153,-0.0072960733
C00154,-0.013768417
C00155,0.08826148
C00156,-0.003547669
C00157,0.037628587
C00158,-0.012919039
C00159,-0.004108625
C00160,0.0031460517
C00162,-0.0114504015
C00163,-0.006807261
C00164,0.00025837752
C00165,0.14010897
C00166,-0.0052501736
C00167,0.0017291926
C00168,0.015538053
C00169,0.028405484
C00170,0.00340571
C00173,-0.0027824505
C00175,0.0013356565
C00178,-0.0001675922
C00179,-0.0010953187
C00181,-0.0028051822
C00182,-0.0017790818
C00183,0.010040373
C00184,0.0014840544
C00185,-0.006172058
C00186,0.006233924
C00187,-0.057630166
C00188,-0.014327766
C00189,-0.0043229517
C00190,-0.0017738969
C00191,0.04242711
C00192,0.012480829
C00194,-0.00012022513
C00195,-0.010385565
C00197,0.008922641
C00198,0.0020555183
C00199,0.008920096
C00203,-0.009283457
C00204,0.002851432
C00206,-0.017512055
C00207,0.02159886
C00208,0.0068335384
C00209,0.0013926625
C00212,0.08697946
C00213,-0.002596699
C00214,-0.00034660555
C00216,-0.0029957923
C00217,0.0013967324
C00219,0.012831046
C00221,-0.042609863
C00222,0.008708162
C00223,0.0012969051
C00224,0.00095841533
C00226,-0.0088325925
C00227,-0.004256943
C00229,-0.01609814
C00231,-0.0074428217
C00232,-0.013093491
C00234,0.00030745007
C00235,-0.0030637276
C00236,0.0064398777
C00238,0.023014635
C00239,-0.014339359
C00242,-0.009232979
C00243,-0.01053588
C00244,0.0100500155
C00245,0.0019498209
C00246,0.000601406
C00247,0.0076127667
C00249,-0.006134297
C00250,0.001617268
C00251,0.0030770246
C00252,-0.006073432
C00253,-0.0017082635
C00255,0.010986744
C00256,0.0051996624
C00257,0.0026882144
C00258,-0.009782189
C00259,-0.008614555
C00262,-0.00533319
C00263,-0.00510084
C00264,-0.002615277
C00266,0.022580914
C00267,-0.0102029275
C00268,-0.01022514
C00269,0.043755315
C00270,0.0038791534
C00272,0.00087925594
C00275,-0.029562617
C00279,0.010013819
C00280,0.10476234
C00282,-0.009763928
C00283,0.005320287
C00286,-0.007175816
C00288,0.04571245
C00290,-0.0075027077
C00291,0.024868326
C00294,0.01625042
C00295,-0.0032468997
C00299,0.002431959
C00300,0.0008427274
C00301,-0.065902814
C00305,-0.0058144005
C00306,0.0057505495
C00307,-0.017167727
C00309,-0.00016286969
C00310,-0.0016258371
C00311,-0.055056274
C00312,-0.02043161
C00313,0.0016553658
C00314,-0.0025857445
C00315,-0.011676255
C00318,0.033096656
C00319,-0.11561563
C00320,0.0025243023
C00322,0.00348363
C00325,0.015258382
C00327,-0.00021088566
C00328,0.0012785129
C00329,0.008314496
C00330,0.018264886
C00331,0.0080419
C00332,0.0053879945
C00333,-0.0045723678
C00334,0.00976001
C00337,-0.0027375754
C00338,0.049660176
C00340,0.0015241334
C00341,-0.0048606154
C00344,-0.008015757
C00345,-0.011000336
C00346,-0.029070485
C00350,0.0006648074
C00352,-0.008718129
C00353,0.005893322
C00354,0.057136226
C00355,0.0027907095
C00356,0.00668154
C00357,0.007233701
C00360,0.00080972724
C00361,0.002626713
C00362,0.025970466
C00363,0.0032781288
C00364,0.0019352715
C00365,0.00042209838
C00366,-0.013143258
C00369,-0.0122290645
C00372,-0.006577327
C00374,0.0056875837
C00376,0.0013163404
C00378,-0.014513134
C00379,-0.0071389526
C00380,-0.0021871685
C00381,0.0008123927
C00383,-0.0030466327
C00385,0.031192757
C00386,-0.00025903835
C00387,-0.00024190804
C00388,-0.014771469
C00389,-0.0044270367
C00390,0.0065646837
C00392,0.003317888
C00394,3.9654085e-05
C00398,0.05121264
C00399,0.0068566995
C00400,-0.018989995
C00401,-1.6949372e-05
C00402,-0.0016052739
C00406,-0.004077019
C00407,0.019394755
C00408,0.0021297676
C00409,-0.007399421
C00410,-0.07424033
C00412,-0.009308083
C00415,0.0008785988
C00416,-0.038955137
C00417,0.0031260818
C00418,0.00045159084
C00422,0.0016483576
C00423,-0.00806884
C00424,-0.008878714
C00426,0.0015529478
C00427,-0.022298658
C00429,-0.00076781947
C00430,-0.0041453475
C00431,0.00020015403
C00433,0.006772481
C00434,0.0025577538
