,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2,layer
A1BG,0.0,0.0,0.0,-0.02587115,0.21428101,1
A1CF,0.0,0.0,0.0,-0.02587115,0.21428101,1
A2M,-8.899986e-05,1.0,-8.899986e-05,-0.028462172,0.07675245,1
A2ML1,0.0,0.0,0.0,-0.02587115,0.21428101,1
A3GALT2,-4.786593e-07,1.0,-4.786593e-07,-0.025885085,0.07780151,1
A4GALT,1.9593297e-05,2.0,1.9593297e-05,-0.025300737,-0.058434445,1
A4GNT,0.0,0.0,0.0,-0.02587115,0.21428101,1
AAAS,0.0,1.0,0.0,-0.02587115,0.07780718,1
AACS,-9.26067e-08,1.0,-9.26067e-08,-0.025873847,0.077806085,1
AACSP1,0.0,0.0,0.0,-0.02587115,0.21428101,1
AADAC,0.0,0.0,0.0,-0.02587115,0.21428101,1
AADACL2,0.0,0.0,0.0,-0.02587115,0.21428101,1
AADACL3,0.0,0.0,0.0,-0.02587115,0.21428101,1
AADACL4,0.0,0.0,0.0,-0.02587115,0.21428101,1
AADAT,-0.0032065543,2.0,-0.0032065543,-0.119222485,-0.09666726,1
AAK1,0.0,0.0,0.0,-0.02587115,0.21428101,1
AAMDC,0.0,0.0,0.0,-0.02587115,0.21428101,1
AAMP,0.0,0.0,0.0,-0.02587115,0.21428101,1
AANAT,0.00021472007,1.0,0.00021472007,-0.019620078,0.080351815,1
AAR2,0.0,0.0,0.0,-0.02587115,0.21428101,1
AARD,0.0,0.0,0.0,-0.02587115,0.21428101,1
AARS2,-3.578806e-05,1.0,-3.578806e-05,-0.026913036,0.07738306,1
AASDH,0.0,0.0,0.0,-0.02587115,0.21428101,1
AASDHPPT,4.176826e-05,1.0,4.176826e-05,-0.024655165,0.078302175,1
AASS,-1.7935748e-06,1.0,-1.7935748e-06,-0.025923366,0.077785924,1
AATF,0.0,0.0,0.0,-0.02587115,0.21428101,1
AATK,0.0,0.0,0.0,-0.02587115,0.21428101,1
ABAT,0.0009960138,4.0,0.0009960138,0.0031254613,-0.31981063,1
ABCA1,0.02361551,4.0,0.02361551,0.66163915,-0.051748823,1
ABCA10,-0.0009126914,1.0,-0.0009126914,-0.05244203,0.06699096,1
ABCA11P,0.0,0.0,0.0,-0.02587115,0.21428101,1
ABCA12,-3.080593e-06,1.0,-3.080593e-06,-0.025960835,0.07777067,1
ABCA13,-4.8511698e-05,1.0,-4.8511698e-05,-0.027283456,0.07723227,1
ABCA17P,0.0,0.0,0.0,-0.02587115,0.21428101,1
ABCA2,0.0009230036,2.0,0.0009230036,0.0009999411,-0.047728203,1
ABCA3,-4.5193854e-05,1.0,-4.5193854e-05,-0.027186865,0.077271596,1
ABCA4,0.0002877485,1.0,0.0002877485,-0.017494027,0.08121727,1
ABCA5,-0.00073561014,1.0,-0.00073561014,-0.04728672,0.069089524,1
ABCA6,-0.00083380594,1.0,-0.00083380594,-0.050145462,0.06792581,1
ABCA7,0.0014103479,1.0,0.0014103479,0.015187831,0.094521105,1
ABCA8,-0.00065467303,1.0,-0.00065467303,-0.044930425,0.0700487,1
ABCA9,-0.0005589887,1.0,-0.0005589887,-0.0421448,0.07118265,1
ABCB1,-0.00072655524,4.0,-0.00072655524,-0.04702311,-0.34022465,1
ABCB10,0.0038834277,1.0,0.0038834277,0.08718577,0.12382938,1
ABCB11,-0.00012820722,3.0,-0.00012820722,-0.029603604,-0.19665986,1
ABCB4,-9.497169e-06,2.0,-9.497169e-06,-0.026147638,-0.058779195,1
ABCB5,-0.00060219783,1.0,-0.00060219783,-0.043402735,0.07067059,1
ABCB6,-0.00014424199,1.0,-0.00014424199,-0.03007042,0.07609778,1
ABCB7,-0.0006557924,1.0,-0.0006557924,-0.044963017,0.07003544,1
ABCB8,1.3876893e-06,1.0,1.3876893e-06,-0.025830751,0.077823624,1
ABCB9,-0.0010443748,2.0,-0.0010443748,-0.05627568,-0.07104345,1
ABCC1,-0.00018050453,4.0,-0.00018050453,-0.03112612,-0.33375347,1
ABCC10,-3.197969e-05,1.0,-3.197969e-05,-0.026802165,0.0774282,1
ABCC11,-0.002065633,1.0,-0.002065633,-0.08600723,0.053327534,1
ABCC12,-0.00031079724,1.0,-0.00031079724,-0.034919288,0.07412395,1
ABCC13,0.0,0.0,0.0,-0.02587115,0.21428101,1
ABCC2,-6.4240965e-05,2.0,-6.4240965e-05,-0.027741376,-0.059427958,1
ABCC3,-0.00038515418,2.0,-0.00038515418,-0.037084017,-0.06323107,1
ABCC4,0.0024559218,3.0,0.0024559218,0.04562727,-0.16603555,1
ABCC5,0.00059316127,1.0,0.00059316127,-0.008602647,0.08483669,1
ABCC6,-3.874163e-05,1.0,-3.874163e-05,-0.026999023,0.07734805,1
ABCC8,0.00033932016,3.0,0.00033932016,-0.015992638,-0.19111922,1
ABCC9,-3.9489132e-05,1.0,-3.9489132e-05,-0.027020784,0.0773392,1
ABCD1,-0.0007654637,2.0,-0.0007654637,-0.048155833,-0.06773809,1
ABCD2,0.00014566405,2.0,0.00014566405,-0.021630483,-0.05694039,1
ABCD3,9.148842e-05,2.0,9.148842e-05,-0.02320768,-0.05758242,1
ABCD4,9.256852e-07,2.0,9.256852e-07,-0.025844201,-0.058655676,1
ABCE1,0.0,0.0,0.0,-0.02587115,0.21428101,1
ABCF1,0.0,0.0,0.0,-0.02587115,0.21428101,1
ABCF2,1.2326191e-07,1.0,1.2326191e-07,-0.02586756,0.07780864,1
ABCF3,0.0,0.0,0.0,-0.02587115,0.21428101,1
ABCG1,-0.0006840965,2.0,-0.0006840965,-0.04578702,-0.06677382,1
ABCG2,-0.00012084951,2.0,-0.00012084951,-0.029389402,-0.060098823,1
ABCG4,-2.8750745e-05,1.0,-2.8750745e-05,-0.026708161,0.07746646,1
ABCG5,0.00061197486,4.0,0.00061197486,-0.0080549335,-0.32436186,1
ABCG8,0.0030422527,4.0,0.0030422527,0.06269693,-0.29556084,1
ABHD1,0.0,0.0,0.0,-0.02587115,0.21428101,1
ABHD10,0.0,0.0,0.0,-0.02587115,0.21428101,1
ABHD11,0.0,0.0,0.0,-0.02587115,0.21428101,1
ABHD12,0.0,0.0,0.0,-0.02587115,0.21428101,1
ABHD12B,0.0,0.0,0.0,-0.02587115,0.21428101,1
ABHD13,0.0,0.0,0.0,-0.02587115,0.21428101,1
ABHD14A,0.0,0.0,0.0,-0.02587115,0.21428101,1
ABHD14A-ACY1,8.1416765e-06,1.0,8.1416765e-06,-0.025634125,0.077903666,1
ABHD14B,0.0,0.0,0.0,-0.02587115,0.21428101,1
ABHD15,0.0,0.0,0.0,-0.02587115,0.21428101,1
ABHD16A,2.1021973e-05,1.0,2.1021973e-05,-0.025259145,0.07805631,1
ABHD16B,0.0,0.0,0.0,-0.02587115,0.21428101,1
ABHD17A,0.0,0.0,0.0,-0.02587115,0.21428101,1
ABHD17B,0.0,0.0,0.0,-0.02587115,0.21428101,1
ABHD17C,0.0,0.0,0.0,-0.02587115,0.21428101,1
ABHD2,0.0,0.0,0.0,-0.02587115,0.21428101,1
ABHD3,0.0,0.0,0.0,-0.02587115,0.21428101,1
ABHD4,0.0,0.0,0.0,-0.02587115,0.21428101,1
ABHD5,-0.0010445156,1.0,-0.0010445156,-0.05627978,0.06542871,1
ABHD6,0.001349251,1.0,0.001349251,0.013409139,0.09379706,1
ABHD8,0.0,0.0,0.0,-0.02587115,0.21428101,1
ABI1,0.00024854174,2.0,0.00024854174,-0.018635439,-0.055721197,1
ABI2,-3.2068125e-05,1.0,-3.2068125e-05,-0.02680474,0.07742714,1
ABI3,0.0,0.0,0.0,-0.02587115,0.21428101,1
ABI3BP,0.0,0.0,0.0,-0.02587115,0.21428101,1
ABL1,0.03243459,11.0,0.03243459,0.9183861,-0.9025514,1
ABL2,-0.0005679766,4.0,-0.0005679766,-0.042406462,-0.33834535,1
ABLIM1,0.0008184326,1.0,0.0008184326,-0.0020443988,0.08750636,1
ABLIM2,-0.0004888171,1.0,-0.0004888171,-0.040101916,0.07201425,1
ABLIM3,3.1449486e-05,1.0,3.1449486e-05,-0.024955573,0.07817989,1
ABO,0.0011616065,1.0,0.0011616065,0.007946308,0.09157328,1
ABR,0.0,0.0,0.0,-0.02587115,0.21428101,1
ABRA,0.0,0.0,0.0,-0.02587115,0.21428101,1
ABRACL,0.0,0.0,0.0,-0.02587115,0.21428101,1
ABT1,0.0,0.0,0.0,-0.02587115,0.21428101,1
ABTB1,0.0,0.0,0.0,-0.02587115,0.21428101,1
ABTB2,0.0,0.0,0.0,-0.02587115,0.21428101,1
ACAA1,9.8039415e-08,5.0,9.8039415e-08,-0.025868297,-0.46808696,1
ACAA2,-0.00018297872,2.0,-0.00018297872,-0.03119815,-0.06083511,1
ACACA,0.00022881784,7.0,0.00022881784,-0.019209653,-0.7383241,1
ACACB,1.1678548e-05,9.0,1.1678548e-05,-0.025531158,-1.013845,1
ACAD10,0.0,0.0,0.0,-0.02587115,0.21428101,1
ACAD8,0.0,0.0,0.0,-0.02587115,0.21428101,1
ACAD9,0.0,0.0,0.0,-0.02587115,0.21428101,1
ACADL,-1.807138e-06,2.0,-1.807138e-06,-0.02592376,-0.05868806,1
ACADM,0.00582921,3.0,0.00582921,0.14383267,-0.12605898,1
ACADS,0.00031648387,4.0,0.00031648387,-0.016657464,-0.3278637,1
ACADSB,9.1972555e-07,1.0,9.1972555e-07,-0.025844375,0.07781808,1
ACADVL,-3.751672e-05,2.0,-3.751672e-05,-0.026963362,-0.059111256,1
ACAN,0.0,0.0,0.0,-0.02587115,0.21428101,1
ACAP1,0.000106027655,1.0,0.000106027655,-0.022784404,0.079063706,1
ACAP2,-0.00019171706,1.0,-0.00019171706,-0.031452544,0.07553516,1
ACAP3,4.4846124e-06,1.0,4.4846124e-06,-0.025740592,0.07786033,1
ACAT1,-0.0002771022,8.0,-0.0002771022,-0.033938333,-0.8807936,1
ACAT2,-0.0039084996,8.0,-0.0039084996,-0.13965797,-0.9238289,1
ACBD3,-2.2310885e-06,1.0,-2.2310885e-06,-0.025936104,0.077780746,1
ACBD4,0.0,0.0,0.0,-0.02587115,0.21428101,1
ACBD5,0.0,0.0,0.0,-0.02587115,0.21428101,1
ACBD6,0.0,0.0,0.0,-0.02587115,0.21428101,1
ACBD7,0.0,0.0,0.0,-0.02587115,0.21428101,1
ACCS,0.0,0.0,0.0,-0.02587115,0.21428101,1
ACCSL,0.0,0.0,0.0,-0.02587115,0.21428101,1
ACD,0.0,0.0,0.0,-0.02587115,0.21428101,1
ACE,-0.0045701037,6.0,-0.0045701037,-0.15891904,-0.65872186,1
ACE2,9.108883e-05,3.0,9.108883e-05,-0.023219313,-0.194061,1
ACER1,-0.00024006714,2.0,-0.00024006714,-0.03286014,-0.06151166,1
ACER2,-0.00042912885,2.0,-0.00042912885,-0.03836423,-0.06375221,1
ACER3,0.0019389112,1.0,0.0019389112,0.030575713,0.10078507,1
ACHE,-5.556249e-05,2.0,-5.556249e-05,-0.027488722,-0.05932511,1
ACIN1,0.0,3.0,0.0,-0.02587115,-0.19514048,1
ACKR2,0.0,0.0,0.0,-0.02587115,0.21428101,1
ACKR3,0.0,2.0,0.0,-0.02587115,-0.058666646,1
ACKR4,0.0,2.0,0.0,-0.02587115,-0.058666646,1
ACLY,0.0006789969,1.0,0.0006789969,-0.0061037433,0.08585392,1
ACMSD,2.4989004e-07,1.0,2.4989004e-07,-0.025863877,0.077810146,1
ACO1,0.0017403767,2.0,0.0017403767,0.024795849,-0.03804158,1
ACO2,-1.7030741e-06,2.0,-1.7030741e-06,-0.025920732,-0.058686826,1
ACOT1,0.0017736263,3.0,0.0017736263,0.025763832,-0.17412138,1
ACOT11,0.0,0.0,0.0,-0.02587115,0.21428101,1
ACOT12,9.520078e-06,1.0,9.520078e-06,-0.025593996,0.077920005,1
ACOT13,0.0,0.0,0.0,-0.02587115,0.21428101,1
ACOT2,-0.00047513098,3.0,-0.00047513098,-0.03970348,-0.20077121,1
ACOT4,0.0010399489,3.0,0.0010399489,0.0044045304,-0.18281613,1
ACOT6,0.0,0.0,0.0,-0.02587115,0.21428101,1
ACOT7,0.00018803266,2.0,0.00018803266,-0.020397019,-0.056438282,1
ACOT8,7.895377e-06,2.0,7.895377e-06,-0.025641294,-0.05857308,1
ACOT9,0.0,0.0,0.0,-0.02587115,0.21428101,1
ACOX1,-0.00017254376,9.0,-0.00017254376,-0.030894358,-1.0160282,1
ACOX2,4.870353e-05,3.0,4.870353e-05,-0.024453262,-0.1945633,1
ACOX3,-0.00025688222,9.0,-0.00025688222,-0.033349678,-1.0170277,1
ACOXL,0.0,0.0,0.0,-0.02587115,0.21428101,1
ACP1,0.00022418234,4.0,0.00022418234,-0.019344606,-0.32895756,1
ACP2,-3.5143123e-05,2.0,-3.5143123e-05,-0.02689426,-0.059083126,1
ACP5,0.00071829424,4.0,0.00071829424,-0.004959693,-0.32310188,1
ACP6,0.0,0.0,0.0,-0.02587115,0.21428101,1
ACPP,0.0,0.0,0.0,-0.02587115,0.21428101,1
ACR,0.0,0.0,0.0,-0.02587115,0.21428101,1
ACRBP,0.0,0.0,0.0,-0.02587115,0.21428101,1
ACRV1,0.0,0.0,0.0,-0.02587115,0.21428101,1
ACSBG1,-7.012679e-05,4.0,-7.012679e-05,-0.027912728,-0.33244538,1
