,,coef
UBE2Q1,mut_important,0.0
UBE2Q1,cnv_del,0.0
UBE2Q1,cnv_amp,0.0
UBE2Q1,methylation,0.0
UBE2Q2,mut_important,0.0
UBE2Q2,cnv_del,0.0
UBE2Q2,cnv_amp,0.0
UBE2Q2,methylation,0.0
REM1,mut_important,0.0
REM1,cnv_del,0.0
REM1,cnv_amp,0.0
REM1,methylation,0.0
REM2,mut_important,0.0
REM2,cnv_del,0.0
REM2,cnv_amp,0.0
REM2,methylation,0.0
RPEL1,mut_important,0.0
RPEL1,cnv_del,-0.00011173157
RPEL1,cnv_amp,-1.7093707e-05
RPEL1,methylation,0.0
MVB12B,mut_important,0.0
MVB12B,cnv_del,0.0064787283
MVB12B,cnv_amp,0.00013355949
MVB12B,methylation,-0.0023146982
ATRX,mut_important,0.0
ATRX,cnv_del,0.0
ATRX,cnv_amp,0.0
ATRX,methylation,0.0
ASS1,mut_important,0.0
ASS1,cnv_del,1.4795377e-05
ASS1,cnv_amp,-6.3643956e-06
ASS1,methylation,1.0832748e-05
ZNF879,mut_important,0.0
ZNF879,cnv_del,1.1501946e-05
ZNF879,cnv_amp,6.472591e-06
ZNF879,methylation,6.479929e-06
ZNF878,mut_important,0.0
ZNF878,cnv_del,0.0022323127
ZNF878,cnv_amp,-0.00031880967
ZNF878,methylation,0.0
SPR,mut_important,0.0
SPR,cnv_del,7.348217e-06
SPR,cnv_amp,2.4068024e-07
SPR,methylation,3.1722325e-07
C6orf141,mut_important,0.0
C6orf141,cnv_del,0.0
C6orf141,cnv_amp,0.0
C6orf141,methylation,0.0
SPN,mut_important,0.0
SPN,cnv_del,0.0
SPN,cnv_amp,0.0
SPN,methylation,0.0
SP8,mut_important,0.0
SP8,cnv_del,0.0
SP8,cnv_amp,0.0
SP8,methylation,0.0
TCOF1,mut_important,0.0
TCOF1,cnv_del,0.0
TCOF1,cnv_amp,0.0
TCOF1,methylation,0.0
NSRP1,mut_important,0.0
NSRP1,cnv_del,0.0
NSRP1,cnv_amp,0.0
NSRP1,methylation,0.0
SP1,mut_important,0.0
SP1,cnv_del,0.04521551
SP1,cnv_amp,-0.001817299
SP1,methylation,0.0060175112
SP2,mut_important,0.0
SP2,cnv_del,0.0
SP2,cnv_amp,0.0
SP2,methylation,0.0
SP3,mut_important,0.0
SP3,cnv_del,0.0
SP3,cnv_amp,0.0
SP3,methylation,0.0
SP4,mut_important,0.0
SP4,cnv_del,0.0
SP4,cnv_amp,0.0
SP4,methylation,0.0
SP5,mut_important,0.0
SP5,cnv_del,0.0
SP5,cnv_amp,0.0
SP5,methylation,0.0
SP6,mut_important,0.0
SP6,cnv_del,0.0
SP6,cnv_amp,0.0
SP6,methylation,0.0
SP7,mut_important,0.0
SP7,cnv_del,0.0
SP7,cnv_amp,0.0
SP7,methylation,0.0
SPPL3,mut_important,0.0
SPPL3,cnv_del,0.0
SPPL3,cnv_amp,0.0
SPPL3,methylation,0.0
GOLIM4,mut_important,0.0
GOLIM4,cnv_del,0.0
GOLIM4,cnv_amp,0.0
GOLIM4,methylation,0.0
OPA3,mut_important,0.0
OPA3,cnv_del,0.0
OPA3,cnv_amp,0.0
OPA3,methylation,0.0
OPA1,mut_important,0.0
OPA1,cnv_del,-7.489509e-06
OPA1,cnv_amp,-0.00013253308
OPA1,methylation,0.00014481925
KLLN,mut_important,0.0
KLLN,cnv_del,0.0
KLLN,cnv_amp,0.0
KLLN,methylation,0.0
OVCH2,mut_important,0.0
OVCH2,cnv_del,0.0
OVCH2,cnv_amp,0.0
OVCH2,methylation,0.0
OVCH1,mut_important,0.0
OVCH1,cnv_del,0.0
OVCH1,cnv_amp,0.0
OVCH1,methylation,0.0
SPPL2A,mut_important,0.0
SPPL2A,cnv_del,0.0
SPPL2A,cnv_amp,0.0
SPPL2A,methylation,0.0
SPPL2C,mut_important,0.0
SPPL2C,cnv_del,0.0
SPPL2C,cnv_amp,0.0
SPPL2C,methylation,0.0
SPPL2B,mut_important,0.0
SPPL2B,cnv_del,0.0
SPPL2B,cnv_amp,0.0
SPPL2B,methylation,0.0
ITGA8,mut_important,0.0
ITGA8,cnv_del,1.6424045e-05
ITGA8,cnv_amp,-0.0003089586
ITGA8,methylation,0.0
ITGA9,mut_important,0.0
ITGA9,cnv_del,0.00017112381
ITGA9,cnv_amp,-0.00044509256
ITGA9,methylation,-0.00025970628
UGCG,mut_important,0.0
UGCG,cnv_del,0.0021261058
UGCG,cnv_amp,3.4117213e-05
UGCG,methylation,3.920224e-06
ATP2A1,mut_important,0.0
ATP2A1,cnv_del,8.3113686e-05
ATP2A1,cnv_amp,-0.009733361
ATP2A1,methylation,-0.0007944347
ATP2A2,mut_important,0.0
ATP2A2,cnv_del,0.0053792633
ATP2A2,cnv_amp,-0.00289211
ATP2A2,methylation,0.0002062534
ATP2A3,mut_important,0.0
ATP2A3,cnv_del,-0.05493612
ATP2A3,cnv_amp,-0.0019573583
ATP2A3,methylation,-0.0004535707
ITGA1,mut_important,0.0
