0,coef
hsa00010,0.02242972
hsa00020,0.007873965
hsa00030,0.0014802825
hsa00040,0.0027498766
hsa00051,-0.0005239336
hsa00052,0.0012854734
hsa00053,5.6481505e-05
hsa00061,0.00046266735
hsa00062,0.0006447568
hsa00071,-0.0007497353
hsa00100,-0.00080654316
hsa00120,-0.00054962485
hsa00130,0.00011733004
hsa00140,0.086630024
hsa00190,0.0071072592
hsa00220,6.2839004e-05
hsa00230,0.7301561
hsa00232,-0.00012283573
hsa00240,0.00055625685
hsa00250,0.0
hsa00260,0.0
hsa00270,0.020966807
hsa00280,0.0
hsa00290,0.0
hsa00310,0.0070869094
hsa00330,0.0009363038
hsa00340,-0.0011324432
hsa00350,-0.0026244717
hsa00360,-0.00064949977
hsa00380,-0.015444855
hsa00400,0.0
hsa00410,-0.0017706841
hsa00430,-0.0005379023
hsa00440,0.0032865857
hsa00450,0.0003590224
hsa00470,-0.00041833712
hsa00480,0.020820204
hsa00500,0.0051805037
hsa00510,0.042532153
hsa00511,0.0
hsa00512,-6.808606e-05
hsa00513,-0.0008974049
hsa00514,0.0
hsa00515,-7.567192e-05
hsa00520,0.031320885
hsa00524,0.0
hsa00531,-3.311787e-05
hsa00532,2.7459202e-05
hsa00533,0.0
hsa00534,-9.846965e-05
hsa00561,0.0017274425
hsa00562,-0.0030685156
hsa00563,-0.0011044716
hsa00564,0.055122223
hsa00565,0.002181658
hsa00590,0.033269636
hsa00591,0.0044913595
hsa00592,-0.00040196846
hsa00600,0.042840432
hsa00601,0.004195991
hsa00603,0.00039119253
hsa00604,0.00044996865
hsa00620,0.0006292745
hsa00630,0.006670071
hsa00640,0.0068820654
hsa00650,0.0030909579
hsa00670,0.00010489766
hsa00730,-0.00023771556
hsa00740,3.0534804e-05
hsa00750,-5.021224e-05
hsa00760,0.014521049
hsa00770,0.0030017914
hsa00780,-9.164597e-07
hsa00785,8.601717e-05
hsa00790,0.011974521
hsa00830,0.005140129
hsa00860,0.0061314395
hsa00900,0.0047024097
hsa00910,-0.0005089045
hsa00920,6.233759e-05
hsa00970,0.009407735
hsa00980,-0.0012223447
hsa00982,0.021607779
hsa00983,-0.0013271369
hsa01040,0.00097508525
hsa01100,0.0
hsa01200,0.0
hsa01210,0.0
hsa01212,0.0
hsa01230,0.0
hsa01232,0.0
hsa01240,0.0
hsa01250,0.0
hsa01521,0.0
hsa01522,0.0
hsa01523,0.0
hsa01524,0.0
hsa02010,0.0010870721
hsa03008,0.0
hsa03010,0.0
hsa03013,0.0
hsa03015,0.0
hsa03018,0.0
hsa03020,0.0
hsa03022,0.0
hsa03030,0.0
hsa03040,0.0
hsa03050,0.0
hsa03060,0.0
hsa03250,0.0
hsa03260,8.537798e-06
hsa03264,1.4959664e-06
hsa03265,0.0
hsa03266,0.0
hsa03267,0.0
hsa03320,0.017424846
hsa03410,0.0
hsa03420,0.0
hsa03430,0.0
hsa03440,0.0
hsa03450,0.0
hsa03460,0.0
hsa04010,0.38632214
hsa04012,0.082905464
hsa04014,-0.023335608
hsa04015,0.21793206
hsa04020,0.03308449
hsa04022,0.059741013
hsa04024,0.038824856
hsa04060,0.0
hsa04061,0.0
hsa04062,-0.11495225
hsa04064,0.0005000338
hsa04066,0.31725955
hsa04068,0.17412856
hsa04070,0.039168194
hsa04071,0.080438785
hsa04072,-0.008099432
hsa04080,1.4346638
hsa04110,0.0
hsa04114,0.02035662
hsa04115,0.0
hsa04120,0.0
hsa04122,0.00020266928
hsa04130,0.0
hsa04136,-2.3108409e-05
hsa04137,0.0
hsa04140,0.093739815
hsa04141,0.121775754
hsa04142,0.034053467
hsa04144,0.10755779
hsa04145,0.052841477
hsa04146,0.0
hsa04150,0.026925683
hsa04151,0.514895
hsa04152,0.23515394
hsa04210,0.17383702
hsa04211,0.5871607
hsa04213,0.1647888
hsa04215,0.0
hsa04216,0.0804139
hsa04217,0.008828592
hsa04218,0.4958681
hsa04260,0.0018326424
hsa04261,0.17306828
hsa04270,0.0072643845
hsa04310,0.01069476
