0,fanin,fanout,degree
hsa00010,66.0,31.0,97.0
hsa00020,30.0,20.0,50.0
hsa00030,30.0,36.0,66.0
hsa00040,34.0,58.0,92.0
hsa00051,29.0,54.0,83.0
hsa00052,29.0,46.0,75.0
hsa00053,30.0,57.0,87.0
hsa00061,17.0,58.0,75.0
hsa00062,27.0,40.0,67.0
hsa00071,43.0,50.0,93.0
hsa00100,20.0,57.0,77.0
hsa00120,17.0,47.0,64.0
hsa00130,11.0,71.0,82.0
hsa00140,61.0,99.0,160.0
hsa00190,106.0,16.0,122.0
hsa00220,22.0,23.0,45.0
hsa00230,121.0,101.0,222.0
hsa00232,6.0,22.0,28.0
hsa00240,56.0,64.0,120.0
hsa00250,0.0,1.0,1.0
hsa00260,0.0,1.0,1.0
hsa00270,48.0,66.0,114.0
hsa00280,0.0,1.0,1.0
hsa00290,0.0,1.0,1.0
hsa00310,58.0,51.0,109.0
hsa00330,49.0,69.0,118.0
hsa00340,21.0,47.0,68.0
hsa00350,36.0,78.0,114.0
hsa00360,16.0,49.0,65.0
hsa00380,39.0,83.0,122.0
hsa00400,0.0,1.0,1.0
hsa00410,31.0,32.0,63.0
hsa00430,16.0,24.0,40.0
hsa00440,5.0,56.0,61.0
hsa00450,14.0,27.0,41.0
hsa00470,5.0,69.0,74.0
hsa00480,57.0,38.0,95.0
hsa00500,34.0,37.0,71.0
hsa00510,49.0,38.0,87.0
hsa00511,17.0,0.0,17.0
hsa00512,34.0,17.0,51.0
hsa00513,37.0,31.0,68.0
hsa00514,44.0,0.0,44.0
hsa00515,18.0,27.0,45.0
hsa00520,47.0,118.0,165.0
hsa00524,0.0,1.0,1.0
hsa00531,19.0,27.0,46.0
hsa00532,21.0,12.0,33.0
hsa00533,14.0,0.0,14.0
hsa00534,24.0,11.0,35.0
hsa00561,54.0,38.0,92.0
hsa00562,73.0,47.0,120.0
hsa00563,26.0,19.0,45.0
hsa00564,88.0,56.0,144.0
hsa00565,42.0,25.0,67.0
hsa00590,58.0,79.0,137.0
hsa00591,28.0,28.0,56.0
hsa00592,24.0,44.0,68.0
hsa00600,50.0,27.0,77.0
hsa00601,27.0,54.0,81.0
hsa00603,15.0,23.0,38.0
hsa00604,15.0,31.0,46.0
hsa00620,47.0,32.0,79.0
hsa00630,29.0,64.0,93.0
hsa00640,31.0,40.0,71.0
hsa00650,26.0,47.0,73.0
hsa00670,19.0,9.0,28.0
hsa00730,14.0,31.0,45.0
hsa00740,8.0,24.0,32.0
hsa00750,6.0,29.0,35.0
hsa00760,35.0,54.0,89.0
hsa00770,21.0,30.0,51.0
hsa00780,3.0,29.0,32.0
hsa00785,4.0,13.0,17.0
hsa00790,24.0,58.0,82.0
hsa00830,66.0,25.0,91.0
hsa00860,42.0,148.0,190.0
hsa00900,23.0,46.0,69.0
hsa00910,17.0,19.0,36.0
hsa00920,8.0,33.0,41.0
hsa00970,26.0,52.0,78.0
hsa00980,75.0,121.0,196.0
hsa00982,69.0,100.0,169.0
hsa00983,80.0,63.0,143.0
hsa01040,27.0,74.0,101.0
hsa01100,0.0,0.0,0.0
hsa01200,0.0,0.0,0.0
hsa01210,0.0,0.0,0.0
hsa01212,0.0,0.0,0.0
hsa01230,0.0,0.0,0.0
hsa01232,0.0,0.0,0.0
hsa01240,0.0,0.0,0.0
hsa01250,0.0,0.0,0.0
hsa01521,0.0,0.0,0.0
hsa01522,0.0,0.0,0.0
hsa01523,0.0,0.0,0.0
hsa01524,0.0,0.0,0.0
hsa02010,45.0,139.0,184.0
hsa03008,74.0,0.0,74.0
hsa03010,132.0,0.0,132.0
hsa03013,104.0,0.0,104.0
hsa03015,95.0,0.0,95.0
hsa03018,73.0,0.0,73.0
hsa03020,31.0,0.0,31.0
hsa03022,45.0,0.0,45.0
hsa03030,36.0,0.0,36.0
hsa03040,132.0,0.0,132.0
hsa03050,45.0,0.0,45.0
hsa03060,22.0,0.0,22.0
hsa03250,62.0,0.0,62.0
hsa03260,5.0,1.0,6.0
hsa03264,4.0,2.0,6.0
hsa03265,4.0,0.0,4.0
hsa03266,7.0,0.0,7.0
hsa03267,4.0,0.0,4.0
hsa03320,74.0,5.0,79.0
hsa03410,33.0,0.0,33.0
hsa03420,47.0,0.0,47.0
hsa03430,23.0,0.0,23.0
hsa03440,37.0,0.0,37.0
hsa03450,12.0,0.0,12.0
hsa03460,49.0,0.0,49.0
hsa04010,292.0,5.0,297.0
hsa04012,83.0,4.0,87.0
hsa04014,230.0,7.0,237.0
hsa04015,207.0,5.0,212.0
hsa04020,238.0,11.0,249.0
hsa04022,163.0,10.0,173.0
hsa04024,224.0,25.0,249.0
hsa04060,290.0,0.0,290.0
hsa04061,99.0,0.0,99.0
hsa04062,189.0,5.0,194.0
hsa04064,102.0,3.0,105.0
hsa04066,107.0,15.0,122.0
hsa04068,129.0,5.0,134.0
hsa04070,94.0,29.0,123.0
hsa04071,119.0,15.0,134.0
hsa04072,143.0,11.0,154.0
hsa04080,362.0,53.0,415.0
hsa04110,127.0,0.0,127.0
hsa04114,124.0,4.0,128.0
hsa04115,71.0,0.0,71.0
hsa04120,138.0,0.0,138.0
hsa04122,8.0,11.0,19.0
hsa04130,33.0,0.0,33.0
hsa04136,30.0,3.0,33.0
hsa04137,69.0,0.0,69.0
hsa04140,137.0,6.0,143.0
hsa04141,163.0,6.0,169.0
hsa04142,132.0,4.0,136.0
hsa04144,242.0,6.0,248.0
hsa04145,148.0,1.0,149.0
hsa04146,82.0,0.0,82.0
hsa04150,153.0,4.0,157.0
hsa04151,350.0,4.0,354.0
hsa04152,120.0,23.0,143.0
hsa04210,134.0,4.0,138.0
hsa04211,88.0,8.0,96.0
hsa04213,62.0,2.0,64.0
hsa04215,30.0,0.0,30.0
hsa04216,41.0,31.0,72.0
hsa04217,133.0,10.0,143.0
hsa04218,154.0,5.0,159.0
hsa04260,83.0,4.0,87.0
hsa04261,153.0,10.0,163.0
hsa04270,131.0,16.0,147.0
hsa04310,166.0,1.0,167.0
hsa04330,58.0,1.0,59.0
hsa04340,52.0,1.0,53.0
hsa04350,94.0,0.0,94.0
hsa04360,180.0,1.0,181.0
hsa04370,59.0,6.0,65.0
hsa04371,135.0,9.0,144.0
hsa04380,127.0,3.0,130.0
hsa04390,153.0,0.0,153.0
hsa04392,28.0,0.0,28.0
hsa04510,199.0,2.0,201.0
hsa04512,88.0,1.0,89.0
hsa04514,146.0,0.0,146.0
hsa04520,66.0,0.0,66.0
hsa04530,164.0,1.0,165.0
hsa04540,86.0,11.0,97.0
hsa04550,142.0,0.0,142.0
hsa04610,86.0,31.0,117.0
hsa04611,122.0,14.0,136.0
hsa04612,69.0,0.0,69.0
hsa04613,108.0,13.0,121.0
hsa04614,23.0,11.0,34.0
hsa04620,103.0,0.0,103.0
hsa04621,182.0,6.0,188.0
hsa04622,68.0,1.0,69.0
hsa04623,72.0,2.0,74.0
hsa04625,104.0,12.0,116.0
hsa04630,162.0,0.0,162.0
hsa04640,91.0,0.0,91.0
hsa04650,124.0,4.0,128.0
hsa04657,93.0,0.0,93.0
hsa04658,90.0,3.0,93.0
hsa04659,106.0,4.0,110.0
hsa04660,101.0,4.0,105.0
hsa04662,82.0,4.0,86.0
hsa04664,67.0,11.0,78.0
hsa04666,93.0,8.0,101.0
hsa04668,113.0,0.0,113.0
hsa04670,110.0,4.0,114.0
hsa04672,45.0,2.0,47.0
hsa04710,33.0,2.0,35.0
hsa04713,95.0,9.0,104.0
hsa04714,203.0,23.0,226.0
hsa04720,67.0,7.0,74.0
hsa04721,78.0,12.0,90.0
hsa04722,118.0,5.0,123.0
hsa04723,141.0,19.0,160.0
hsa04724,112.0,8.0,120.0
hsa04725,112.0,12.0,124.0
hsa04726,112.0,42.0,154.0
hsa04727,89.0,9.0,98.0
hsa04728,132.0,12.0,144.0
hsa04730,58.0,9.0,67.0
hsa04740,406.0,8.0,414.0
hsa04742,85.0,33.0,118.0
hsa04744,28.0,8.0,36.0
hsa04750,98.0,35.0,133.0
hsa04810,225.0,5.0,230.0
hsa04910,136.0,4.0,140.0
hsa04911,86.0,12.0,98.0
hsa04912,93.0,6.0,99.0
hsa04913,51.0,24.0,75.0
hsa04914,96.0,4.0,100.0
hsa04915,45.0,8.0,53.0
hsa04916,101.0,6.0,107.0
hsa04917,70.0,11.0,81.0
hsa04918,75.0,21.0,96.0
hsa04919,121.0,11.0,132.0
hsa04920,68.0,7.0,75.0
hsa04921,151.0,12.0,163.0
hsa04922,102.0,26.0,128.0
hsa04923,55.0,14.0,69.0
hsa04924,67.0,17.0,84.0
hsa04925,98.0,22.0,120.0
hsa04926,128.0,6.0,134.0
hsa04927,65.0,12.0,77.0
hsa04928,0.0,1.0,1.0
hsa04929,64.0,9.0,73.0
hsa04930,46.0,6.0,52.0
hsa04931,105.0,20.0,125.0
hsa04932,150.0,2.0,152.0
hsa04933,98.0,9.0,107.0
hsa04934,155.0,13.0,168.0
hsa04935,0.0,1.0,1.0
hsa04936,141.0,11.0,152.0
hsa04940,41.0,3.0,44.0
hsa04950,26.0,0.0,26.0
hsa04960,36.0,8.0,44.0
hsa04961,53.0,8.0,61.0
hsa04962,44.0,2.0,46.0
hsa04964,23.0,17.0,40.0
hsa04966,27.0,8.0,35.0
hsa04970,90.0,17.0,107.0
hsa04971,76.0,14.0,90.0
hsa04972,101.0,15.0,116.0
hsa04973,45.0,27.0,72.0
hsa04974,102.0,47.0,149.0
hsa04975,40.0,13.0,53.0
hsa04976,89.0,174.0,263.0
hsa04977,23.0,39.0,62.0
hsa04978,60.0,29.0,89.0
hsa04979,50.0,10.0,60.0
hsa05010,355.0,19.0,374.0
hsa05012,238.0,26.0,264.0
hsa05014,334.0,14.0,348.0
hsa05016,278.0,6.0,284.0
hsa05017,139.0,7.0,146.0
hsa05020,247.0,5.0,252.0
hsa05022,445.0,32.0,477.0
hsa05030,49.0,8.0,57.0
hsa05031,69.0,10.0,79.0
hsa05032,89.0,12.0,101.0
hsa05033,40.0,7.0,47.0
hsa05034,106.0,10.0,116.0
hsa05100,69.0,0.0,69.0
