,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
UBE2Q1,0.0,1.0,0.0,-0.02587115,0.07780718
UBE2Q2,0.0,1.0,0.0,-0.02587115,0.07780718
REM1,0.0,0.0,0.0,-0.02587115,0.21428101
REM2,0.0,0.0,0.0,-0.02587115,0.21428101
RPEL1,-0.00012882528,2.0,-0.00012882528,-0.029621597,-0.060193345
MVB12B,0.0042975894,1.0,0.0042975894,0.09924312,0.12873757
ATRX,0.0,0.0,0.0,-0.02587115,0.21428101
ASS1,1.9263727e-05,2.0,1.9263727e-05,-0.025310332,-0.058438353
ZNF879,2.4454463e-05,1.0,2.4454463e-05,-0.025159217,0.07809699
ZNF878,0.001913503,1.0,0.001913503,0.029836016,0.10048396
SPR,7.906121e-06,1.0,7.906121e-06,-0.025640983,0.07790088
C6orf141,0.0,0.0,0.0,-0.02587115,0.21428101
SPN,0.0,1.0,0.0,-0.02587115,0.07780718
SP8,0.0,0.0,0.0,-0.02587115,0.21428101
TCOF1,0.0,1.0,0.0,-0.02587115,0.07780718
NSRP1,0.0,0.0,0.0,-0.02587115,0.21428101
SP1,0.04941572,12.0,0.04941572,1.4127519,-0.8377833
SP2,0.0,0.0,0.0,-0.02587115,0.21428101
SP3,0.0,0.0,0.0,-0.02587115,0.21428101
SP4,0.0,0.0,0.0,-0.02587115,0.21428101
SP5,0.0,0.0,0.0,-0.02587115,0.21428101
SP6,0.0,0.0,0.0,-0.02587115,0.21428101
SP7,0.0,0.0,0.0,-0.02587115,0.21428101
SPPL3,0.0,0.0,0.0,-0.02587115,0.21428101
GOLIM4,0.0,0.0,0.0,-0.02587115,0.21428101
OPA3,0.0,0.0,0.0,-0.02587115,0.21428101
OPA1,4.7966832e-06,1.0,4.7966832e-06,-0.025731508,0.07786403
KLLN,0.0,0.0,0.0,-0.02587115,0.21428101
OVCH2,0.0,0.0,0.0,-0.02587115,0.21428101
OVCH1,0.0,0.0,0.0,-0.02587115,0.21428101
SPPL2A,0.0,0.0,0.0,-0.02587115,0.21428101
SPPL2C,0.0,0.0,0.0,-0.02587115,0.21428101
SPPL2B,0.0,0.0,0.0,-0.02587115,0.21428101
